 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
250915G,VCG KESTREL LIMITED===========,2072,1,405,PRINTING,01/10/2015,405,Communications,Facilities & Management S
250915G,WOLF SAFETY LAMP CO LTD=======,28252,1,267,GENERAL CONSUMABLES,01/10/2015,267,Procurement,Fire & Rescue
240915M,GOVNET COMMUNICATIONS=========,89755,1,349,PROFESSIONAL DEVELOPMENT,01/10/2015,349,National Operational Guidance Project,Human Resources
240915M,TFPL LTD======================,143479,1,301.5,PROFESSIONAL DEVELOPMENT,01/10/2015,301.5,Information Management,Human Resources
250915G,PRINCIPEA CONSULTING,002-015,1,"1,249.50",PROFESSIONAL DEVELOPMENT,01/10/2015,"1,249.50",Central Finance,Legal Services
280915H,MAJESTIC WINE WAREHOUSES LTD==,003/1237395,1,645.73,PUBLIC RELATIONS,01/10/2015,645.73,Communications,Catering
141203,THAMES WATER UTILITIES LTD====,0229569091I,1,489.99,WATER & SEWERAGE RATES,01/10/2015,489.99,Technical And Service Support,Utilities
180915M,MISCO UK LTD,10702787,1,522.35,STATIONERY CONSUMABLES,01/10/2015,522.35,Information and Communication Technology,ICT
220915M,*SPRUE SAFETY PRODUCTS LTD====,1080726,1,618,FIRE DETECTORS,01/10/2015,618,Operations Non Fire Stations,Health & Safety
250915G,*SPRUE SAFETY PRODUCTS LTD====,1080727,1,865.2,FIRE DETECTORS,01/10/2015,865.2,Operations Non Fire Stations,Health & Safety
220915M,*SPRUE SAFETY PRODUCTS LTD====,1080728,1,494.4,FIRE DETECTORS,01/10/2015,494.4,Operations Non Fire Stations,Health & Safety
220915M,*SPRUE SAFETY PRODUCTS LTD====,1080729,1,"1,112.40",FIRE DETECTORS,01/10/2015,"1,112.40",Operations Non Fire Stations,Health & Safety
220915M,*SPRUE SAFETY PRODUCTS LTD====,1080731,1,370.8,FIRE DETECTORS,01/10/2015,370.8,Operations Non Fire Stations,Health & Safety
280915G,*SPRUE SAFETY PRODUCTS LTD====,1080733,1,370.8,FIRE DETECTORS,01/10/2015,370.8,Operations Non Fire Stations,Health & Safety
220915M,*SPRUE SAFETY PRODUCTS LTD====,1080734,1,988.8,FIRE DETECTORS,01/10/2015,988.8,Operations Non Fire Stations,Health & Safety
220915M,*SPRUE SAFETY PRODUCTS LTD====,1080735,1,494.4,FIRE DETECTORS,01/10/2015,494.4,Operations Non Fire Stations,Health & Safety
240915M,*SPRUE SAFETY PRODUCTS LTD====,1080736,1,"1,359.60",FIRE DETECTORS,01/10/2015,"1,359.60",Operations Non Fire Stations,Health & Safety
280915G,*SPRUE SAFETY PRODUCTS LTD====,1080737,1,988.8,FIRE DETECTORS,01/10/2015,988.8,Operations Non Fire Stations,Health & Safety
220915M,*SPRUE SAFETY PRODUCTS LTD====,1080738,1,"1,112.40",FIRE DETECTORS,01/10/2015,"1,112.40",Operations Non Fire Stations,Health & Safety
220915M,*SPRUE SAFETY PRODUCTS LTD====,1080740,1,370.8,FIRE DETECTORS,01/10/2015,370.8,Operations Non Fire Stations,Health & Safety
240915M,*SPRUE SAFETY PRODUCTS LTD====,1080741,1,"1,730.40",FIRE DETECTORS,01/10/2015,"1,730.40",Operations Non Fire Stations,Health & Safety
220915M,*SPRUE SAFETY PRODUCTS LTD====,1080746,1,618,FIRE DETECTORS,01/10/2015,618,Operations Non Fire Stations,Health & Safety
280915H,ROYAL COLLEGE OF MUSIC========,11046571,1,370,PUBLIC RELATIONS,01/10/2015,370,Communications,Facilities & Management S
250915G,AAI SECURITY SYSTEMS==========,140856,1,990,STRATEGIC (CYCLICAL),01/10/2015,990,Technical And Service Support,Facilities & Management S
240915M,LECS (UK) LTD=================,15219161,1,"4,300.00",PROFESSIONAL SERVICES,01/10/2015,"4,300.00",Technical And Service Support,Consultancy
800066064,REDFERN TRAVEL LTD,1540355,1,624.99,PUBLIC TRANSPORT,01/10/2015,624.99,Corporate Management Team,Human Resources
800066054,REDFERN TRAVEL LTD,1544330,1,404.73,PUBLIC TRANSPORT,01/10/2015,404.73,National Operational Guidance Project,Human Resources
800066049,REDFERN TRAVEL LTD,1551492,1,845.4,PUBLIC TRANSPORT,01/10/2015,845.4,National Operational Guidance Project,Human Resources
