GOVERNMENT PROCUREMENT CARDS,,,,,,
Quarter 4 2018/19,,,,,,
,,,,,,
Date of the Transaction ,Local Authority Department which Incurred the Expenditure ,Beneficiary,Amount,Value Added Tax that cannot be recovered ,Summary of the purpose of the expenditure ,"Merchant category (eg. computers, software etc)."
09/01/2019,London Fire Brigade,PETS AT HOME LTD,45.67,0,DOG FOOD,consumables
11/01/2019,London Fire Brigade,BUILT ENVIRONMENT NETW,116.40,0,ENTRY TO LONDON PROPERTY CLUB,Specialist Services
15/01/2019,London Fire Brigade,iStock.com,24.00,0,STOCK PHOTOS,Specialist Services
18/01/2019,London Fire Brigade,WORKSPACE GROUP PLC,180.00,0,HIRE OF MEETING ROOM,Training
19/01/2019,London Fire Brigade,HEATHROW EXPRESS,37.00,0,TRAIN TO HEATHROW,Travel
21/01/2019,London Fire Brigade,WWW.PRCA.ORG.UK,300.00,0,MEMBERSHIP TO LG COMMS,Specialist Services
24/01/2019,London Fire Brigade,"HOTEL JEN MALE, MALDIV",5.03,0,LUNCH,Subsistence
27/01/2019,London Fire Brigade,CAMPAIGNMONITOR,19.00,0,Email Marketing Subscription,Software
31/01/2019,London Fire Brigade,MAILCHIMP MONTHLY,131.23,0,Email Marketing Subscription,Software
04/02/2019,London Fire Brigade,Siteground Hosting,17.94,0,Renewal of domain name registration with SiteGround.com,Software
13/02/2019,London Fire Brigade,MAILCHIMP,-15.44,0,Email Marketing Subscription,Software
13/02/2019,London Fire Brigade,AMZN Mktp UK MI7JT9584,15.98,0,equipment for outreach,Equipment
14/02/2019,London Fire Brigade,AMZN Mktp UK MI7YR2BM4,11.99,0,equipment for outreach,Equipment
14/02/2019,London Fire Brigade,AMZN Mktp UK MI5VM3B44,14.11,0,equipment for outreach,Equipment
14/02/2019,London Fire Brigade,AMZN Mktp UK MI76R9B34,15.96,0,equipment for outreach,Equipment
14/02/2019,London Fire Brigade,VectorStock,24.02,0,"Buying stock images from USA
",Software
15/02/2019,London Fire Brigade,DED COMPANIES REGISTRY,8.00,0,ID FOR ENFORCEMENT PURPOSES,Equipment
15/02/2019,London Fire Brigade,AMZN Mktp UK MI6R518E4,13.15,0,equipment for outreach,Equipment
15/02/2019,London Fire Brigade,AMZN Mktp UK MI2H958Q4,14.11,0,equipment for outreach,Equipment
15/02/2019,London Fire Brigade,SCREWFIX DIRECT,39.98,0,equipment for outreach,Equipment
17/02/2019,London Fire Brigade,AMZN Mktp UK MI8D20DS4,44.47,0,equipment for outreach,Equipment
20/02/2019,London Fire Brigade,WWW.APEA.ORG.UK,4920.00,0,"Provision of risk critical training service for Fire investigation team.
",Training
22/02/2019,London Fire Brigade,WWW.PETSHOPBOWL.CO.UK,81.23,0,DOG FOOD,consumables
26/02/2019,London Fire Brigade,Amazon.co.uk MW25T5C24,9.98,0,16GB USB Flash drive,Hardware
27/02/2019,London Fire Brigade,AMZ HIIMIEIUK,-22.24,0,equipment for outreach,Equipment
27/02/2019,London Fire Brigade,CAMPAIGNMONITOR,19.00,0,Email Marketing Subscription,Software
28/02/2019,London Fire Brigade,CLOUDCONVERT,7.43,0,"Monthly  subscription to CloudConvert, PDF conversion service for website.",Specialist Services
28/02/2019,London Fire Brigade,MAILCHIMP MONTHLY,112.66,0,Email Marketing Subscription,Software
28/02/2019,London Fire Brigade,SLI DO,238.80,0,SLIDO FOR MGMNT CONFERENCE,Training
03/03/2019,London Fire Brigade,AMZ HIIMIEIUK,-22.23,0,REFUND,Equipment
07/03/2019,London Fire Brigade,WWW.GOV.UK,10.00,0,COPY OF WILL,Legal Costs
