GOVERNMENT PROCUREMENT CARDS,,,,,,
Quarter 4 2018/19,,,,,,
,,,,,,
Date of the Transaction ,Local Authority Department which Incurred the Expenditure ,Beneficiary,Amount,Value Added Tax that cannot be recovered ,Summary of the purpose of the expenditure ,"Merchant category (eg. computers, software etc)."
11/03/2019,London Fire Brigade,JUSTPARK,25.30,0,CAR PARKING,Travel
12/03/2019,London Fire Brigade,JACK FROST PET PRODUCT,90.76,0,FIRE INVESTIGATION DOG,consumables
13/03/2019,London Fire Brigade,3C_ Churchill Square S,50.00,0,Car parking LGA conference,Travel
20/03/2019,London Fire Brigade,ATTON LAS CONDES RSTAU,27.71,0,REFRESHMENT,Subsistence
21/03/2019,London Fire Brigade,WWW.BARPROFESSIONALTRA,346.00,0,RENEWAL OF BARRISTER CERTIFICATE,Legal Costs
22/03/2019,London Fire Brigade,FLANNERYS BEER HOUSE,34.58,0,EVENING MEAL,Subsistence
25/03/2019,London Fire Brigade,TOWER HAMLETS BC,35.00,0,SCAFFOLDING LICENCE FOR LONDON MARATHON,Equipment
25/03/2019,London Fire Brigade,CH & CO SPARE 3,900.00,0,VENUE HIRE LEVEL 31 RECEPTION,Training
26/03/2019,London Fire Brigade,WEST COAST TRAINS,117.70,0,Train to Liverpool to attend NRB meeting,Travel
27/03/2019,London Fire Brigade,CAMPAIGNMONITOR,19.00,0,Email Marketing Subscription,Software
27/03/2019,London Fire Brigade,INCORPORATE VENUES,1640.00,0,Hotel UKRO Challenge,Training
28/03/2019,London Fire Brigade,CLOUDCONVERT,7.42,0,SUBS CLOUDCONVERT,Specialist Services
28/03/2019,London Fire Brigade,RHUBARB FOOD DESIGN LT,237.84,0,training refreshments,Subsistence
29/03/2019,London Fire Brigade,HOTELES ATTON LAS COND,1377.56,0,EVENING MEAL,Subsistence
28/03/2019,London Fire Brigade,FUNDACION 14 BOMBEROS,2366.76,0,HELICOPER HIRE,Travel
28/03/2019,London Fire Brigade,FUNDACION 14 BOMBEROS,1050.34,0,MULE HIRE,Travel
29/03/2019,London Fire Brigade,HOTELES ATTON LAS COND,-1355.35,0,EVENING MEAL REFUND,Subsistence
29/03/2019,London Fire Brigade,BRITISH A,79.29,0,ADDITIONAL BAGGAGE,Training
29/03/2019,London Fire Brigade,AMZNMktplace,0.01,0,OUTREACH EVENTS,Community Relations
29/03/2019,London Fire Brigade,AMZN Mktp UK MZ82T5LG4,32.15,0,OUTREACH RECRUITMENT,Community Relations
29/03/2019,London Fire Brigade,AMZNMktplace,29.69,0,OUTREACH EVENTS,Community Relations
29/03/2019,London Fire Brigade,AMZNMktplace,29.69,0,OUTREACH EVENTS,Community Relations
,,,,,,
,,,,,,
,,,13558.68,,,
