 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid
250613C,ENTEL UK LTD==================,127768,1,106.66,RADIO,01/07/2013,377.68
250613C,ENTEL UK LTD==================,127768,3,53.43,RADIO,01/07/2013,
250613C,ENTEL UK LTD==================,127768,4,43.11,RADIO,01/07/2013,
250613C,ENTEL UK LTD==================,127768,5,39.87,RADIO,01/07/2013,
250613C,ENTEL UK LTD==================,127768,6,55.67,RADIO,01/07/2013,
250613C,ENTEL UK LTD==================,127768,7,19,RADIO,01/07/2013,
250613C,ENTEL UK LTD==================,127768,8,50.94,RADIO,01/07/2013,
250613C,ENTEL UK LTD==================,127768,9,9,RADIO,01/07/2013,
260613C,*OCS GROUP UK LTD,176799,1,99,REFRESHMENTS,01/07/2013,714
260613C,*OCS GROUP UK LTD,176799,2,99,REFRESHMENTS,01/07/2013,
260613C,*OCS GROUP UK LTD,176799,3,510,REFRESHMENTS,01/07/2013,
260613C,*OCS GROUP UK LTD,176799,4,6,REFRESHMENTS,01/07/2013,
260613C,*OCS GROUP UK LTD,176902,1,212.5,REFRESHMENTS,01/07/2013,253.75
260613C,*OCS GROUP UK LTD,176902,2,41.25,REFRESHMENTS,01/07/2013,
260613C,*OCS GROUP UK LTD,176918,1,198,REFRESHMENTS,01/07/2013,594
260613C,*OCS GROUP UK LTD,176918,2,198,REFRESHMENTS,01/07/2013,
260613C,*OCS GROUP UK LTD,176918,3,198,REFRESHMENTS,01/07/2013,
260613C,*OCS GROUP UK LTD,176920,1,140.25,REFRESHMENTS,01/07/2013,"1,513.00"
260613C,*OCS GROUP UK LTD,176920,2,140.25,REFRESHMENTS,01/07/2013,
260613C,*OCS GROUP UK LTD,176920,3,"1,232.50",REFRESHMENTS,01/07/2013,
190613C,SUE HILL RECRUITMENT & SRV.LTD,45197,1,"1,121.25",FRS STAFF AGENCY,01/07/2013,"1,121.25"
140272,THAMES WATER UTILITIES LTD====,0423030577E,1,569.97,WATER & SEWERAGE RATES,01/07/2013,569.97
270613G,*PRINCIPAL CATERING CONSULTNTS,50974,1,"3,261.83",CATERING FIXTURES,01/07/2013,"3,261.83"
190613C,HAYS ACCOUNTANCY & FINANCE====,1003275712,1,696,FRS STAFF AGENCY,01/07/2013,696
250613C,*APTCO========================,101634,1,360,OPERATIONAL EQUIP-PURCHASE,01/07/2013,360
190613H,*SPRUE SAFETY PRODUCTS LTD====,1048383,1,"1,560.00",FIRE DETECTORS,01/07/2013,"2,440.00"
