 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
231215H,APPLUS LLT,15110,1,"3,750.00",GENERAL,04/01/2016,"3,750.00",Procurement,Vehicle Management
141312,THOMPSONS=====================,9441,1,"11,250.00",CLAIMANT COSTS AGREED,06/01/2016,"11,250.00",Compensation Budgets,Legal Services
141312,JMW SOLICITORS LLP,LPI 8420,1,"49,000.00",CLAIMANT COSTS AGREED,06/01/2016,"49,000.00",Compensation Budgets,Legal Services
221215H,USEL==========================,22964,1,"1,040.00",PROTECTIVE EQUIPT - PARTS,07/01/2016,"1,040.00",Technical and Service Support,Fire & Rescue
171215H,HEALTH MANAGEMENT LIMITED=====,140865,1,300,THIRD PARTY REPORTS,07/01/2016,"5,180.80",HR Management,Healthcare
171215H,HEALTH MANAGEMENT LIMITED=====,140865,2,185,THIRD PARTY REPORTS,07/01/2016,,HR Management,Healthcare
171215H,HEALTH MANAGEMENT LIMITED=====,140865,3,"1,796.00",THIRD PARTY REPORTS,07/01/2016,,HR Management,Healthcare
171215H,HEALTH MANAGEMENT LIMITED=====,140865,4,"1,160.00",THIRD PARTY REPORTS,07/01/2016,,HR Management,Healthcare
171215H,HEALTH MANAGEMENT LIMITED=====,140865,5,200,THIRD PARTY REPORTS,07/01/2016,,HR Management,Healthcare
171215H,HEALTH MANAGEMENT LIMITED=====,140865,6,"1,539.80",THIRD PARTY REPORTS,07/01/2016,,HR Management,Healthcare
211215G,HEALTH MANAGEMENT LIMITED=====,141173,1,600,THIRD PARTY REPORTS,07/01/2016,600,HR Management,Healthcare
231215H,NORTHERN DIVER (INTERNATIONAL),166405,1,35,OPERATIONAL EQUIP-PURCHASE,07/01/2016,277.5,Technical And Service Support,Fire & Rescue
231215H,NORTHERN DIVER (INTERNATIONAL),166405,2,120,OPERATIONAL EQUIP-PURCHASE,07/01/2016,,Technical And Service Support,Fire & Rescue
231215H,NORTHERN DIVER (INTERNATIONAL),166405,3,115,OPERATIONAL EQUIP-PURCHASE,07/01/2016,,Technical And Service Support,Fire & Rescue
231215H,NORTHERN DIVER (INTERNATIONAL),166405,4,7.5,OPERATIONAL EQUIP-PURCHASE,07/01/2016,,Technical And Service Support,Fire & Rescue
231215H,MOOLANDS LTD,3534,1,425,STRATEGIC (NON CYCLICAL),07/01/2016,425,Technical and Service Support,"Works - Construction, R&M"
040116G,MOOLANDS LTD,3563,1,"9,695.00",STRATEGIC (NON CYCLICAL),07/01/2016,"9,695.00",Technical And Service Support,"Works - Construction, R&M"
171215H,ADAM PHONES LTD===============,1142194,1,480,CELLULAR TELEPHONES,07/01/2016,480,Information and Communication Technology,ICT
040116G,BACP ENTERPRISES LTD==========,100260K,1,382,SUBSCRIPTIONS,07/01/2016,382,HR Management,Financial Services
040116G,AFFINITY WATER,101069714,1,375,CURRENT HYDRANT COSTS,07/01/2016,375,Operational Resilience,Utilities
231215H,STREET CRED,1024,1,625,GENERAL,07/01/2016,625,Community Safety Delivery,Arts & Leisure Services
221215H,MOOLANDS LTD,10434,1,"3,998.00",STRATEGIC (NON CYCLICAL),07/01/2016,"3,998.00",Technical and Service Support,"Works - Construction, R&M"
040116G,GEORGE JONES & SON LTD========,1044,1,771.16,STRATEGIC (NON CYCLICAL),07/01/2016,771.16,Technical and Service Support,"Works - Construction, R&M"
040116G,ORBISON PRODUCTS LTD==========,105147,1,"4,328.00",RADIO,07/01/2016,"9,537.00",Information and Communication Technology,ICT
040116G,ORBISON PRODUCTS LTD==========,105147,2,"4,104.00",RADIO,07/01/2016,,Information and Communication Technology,ICT
040116G,ORBISON PRODUCTS LTD==========,105147,3,"1,105.00",RADIO,07/01/2016,,Information and Communication Technology,ICT
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,1,751.2,GAS,07/01/2016,"8,591.93",Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,2,11.17,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,3,239.18,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,4,565.52,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,5,72.71,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,6,22.2,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,7,574.74,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,8,787.15,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,9,372.97,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,10,40,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,11,348.06,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,12,91.2,GAS,07/01/2016,,Operations Fire Stations (closed),Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,13,11.56,GAS,07/01/2016,,Operations Fire Stations (closed),Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,14,485.67,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,15,315.14,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,16,318.16,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,17,299.65,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,18,169.88,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,19,574.88,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,20,869.89,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,21,473.11,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,22,43.88,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,23,218.99,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,24,614.98,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,25,70.13,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,26,58.24,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,27,32.96,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,28,48.53,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,29,64.8,GAS,07/01/2016,,Technical And Service Support,Utilities
141303,CORONA ENERGY RETAIL 4 LTD,1067711151,30,45.38,GAS,07/01/2016,,Technical And Service Support,Utilities
141304,CORONA ENERGY RETAIL 4 LTD,1067711152,1,10.51,GAS,07/01/2016,"10,256.34",Technical And Service Support,Utilities
141304,CORONA ENERGY RETAIL 4 LTD,1067711152,2,663.11,GAS,07/01/2016,,Technical And Service Support,Utilities
141304,CORONA ENERGY RETAIL 4 LTD,1067711152,3,184.31,GAS,07/01/2016,,Technical And Service Support,Utilities
141304,CORONA ENERGY RETAIL 4 LTD,1067711152,4,17.4,GAS,07/01/2016,,Technical And Service Support,Utilities
141304,CORONA ENERGY RETAIL 4 LTD,1067711152,5,39.33,GAS,07/01/2016,,Technical And Service Support,Utilities
141304,CORONA ENERGY RETAIL 4 LTD,1067711152,6,386.08,GAS,07/01/2016,,Technical And Service Support,Utilities
141304,CORONA ENERGY RETAIL 4 LTD,1067711152,7,320,GAS,07/01/2016,,Technical And Service Support,Utilities
141304,CORONA ENERGY RETAIL 4 LTD,1067711152,8,469.6,GAS,07/01/2016,,Technical And Service Support,Utilities
141304,CORONA ENERGY RETAIL 4 LTD,1067711152,9,67.44,GAS,07/01/2016,,Technical And Service Support,Utilities
