 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid
191112E,HEALTH MANAGEMENT LIMITED=====,0000090336,1,625.00,THIRD PARTY REPORTS,03/12/12,625.00
191112E,HEALTH MANAGEMENT LIMITED=====,0000090337,1,585.13,DRUG & ALCOHOL TESTS,03/12/12,585.13
281112E,TURNER & TOWNSEND PROJECT MNGT,000533928,1,"22,355.01",PROFESSIONAL FEES - MISC,03/12/12,"22,355.01"
271112C,*PRINCIPAL CATERING CONSULTNTS,049807,1,112.45,REFRESHMENTS,03/12/12,533.00
271112C,*PRINCIPAL CATERING CONSULTNTS,049807,2,112.45,REFRESHMENTS,03/12/12,
271112C,*PRINCIPAL CATERING CONSULTNTS,049807,3,112.45,REFRESHMENTS,03/12/12,
271112C,*PRINCIPAL CATERING CONSULTNTS,049807,4,112.45,REFRESHMENTS,03/12/12,
271112C,*PRINCIPAL CATERING CONSULTNTS,049807,5,20.80,REFRESHMENTS,03/12/12,
271112C,*PRINCIPAL CATERING CONSULTNTS,049807,6,20.80,REFRESHMENTS,03/12/12,
271112C,*PRINCIPAL CATERING CONSULTNTS,049807,7,20.80,REFRESHMENTS,03/12/12,
271112C,*PRINCIPAL CATERING CONSULTNTS,049807,8,20.80,REFRESHMENTS,03/12/12,
261112E,HAYS ACCOUNTANCY & FINANCE====,1002648685,1,696.00,FRS STAFF AGENCY,03/12/12,696.00
261112E,HAYS ACCOUNTANCY & FINANCE====,1002648686,1,696.00,FRS STAFF AGENCY,03/12/12,696.00
191112C,AFFINITY WATER,101016045,1,555.00,HYDRANTS,03/12/12,555.00
271112C,AFFINITY WATER,101016207,1,359.00,CURRENT HYDRANT COSTS,03/12/12,359.00
139954,MOOLANDS LTD,10138,1,"4,260.00",STRATEGIC (NON CYCLICAL),03/12/12,"4,260.00"
281112E,ARVAL UK LTD,1019478993,1,"2,465.75",CONTRACT HIRE,03/12/12,"2,465.75"
271112C,ARVAL UK LTD,1019478999,1,820.96,CONTRACT HIRE,03/12/12,820.96
271112C,ARVAL UK LTD,1019479000,1,553.56,CONTRACT HIRE,03/12/12,553.56
271112C,DYER & BUTLER LTD,1031A/013,1,"12,750.00",DEVELOPMENT EXP - CONTRACTORS,03/12/12,"65,070.60"
271112C,DYER & BUTLER LTD,1031A/013,2,"52,320.60",DEVELOPMENT EXP - CONTRACTORS,03/12/12,
271112C,DYER & BUTLER LTD,1031B/011,1,"49,917.50",DEVELOPMENT EXP - CONTRACTORS,03/12/12,"85,651.57"
271112C,DYER & BUTLER LTD,1031B/011,2,"35,734.07",DEVELOPMENT EXP - CONTRACTORS,03/12/12,
221112G,*SPRUE SAFETY PRODUCTS LTD====,1039846,1,"5,056.00",FIRE DETECTORS,03/12/12,"7,697.00"
221112G,*SPRUE SAFETY PRODUCTS LTD====,1039846,2,336.00,FIRE DETECTORS,03/12/12,
221112G,*SPRUE SAFETY PRODUCTS LTD====,1039846,3,"1,905.00",FIRE DETECTORS,03/12/12,
221112G,*SPRUE SAFETY PRODUCTS LTD====,1039846,4,400.00,FIRE DETECTORS,03/12/12,
211112C,*SPRUE SAFETY PRODUCTS LTD====,1039847,1,"1,143.00",FIRE DETECTORS,03/12/12,"1,143.00"
800015313,JAMES HUNTER (OUTFITTERS) LTD=,106447,1,238.58,CLOTHING,03/12/12,290.70
800015313,JAMES HUNTER (OUTFITTERS) LTD=,106447,2,52.12,CLOTHING,03/12/12,
800015315,JAMES HUNTER (OUTFITTERS) LTD=,106449,1,243.07,CLOTHING,03/12/12,315.14
800015315,JAMES HUNTER (OUTFITTERS) LTD=,106449,2,72.07,CLOTHING,03/12/12,
800015317,JAMES HUNTER (OUTFITTERS) LTD=,106451,1,129.58,CLOTHING,03/12/12,265.62
800015317,JAMES HUNTER (OUTFITTERS) LTD=,106451,2,136.04,CLOTHING,03/12/12,
800015318,JAMES HUNTER (OUTFITTERS) LTD=,106452,1,308.66,CLOTHING,03/12/12,360.78
800015318,JAMES HUNTER (OUTFITTERS) LTD=,106452,2,52.12,CLOTHING,03/12/12,
800015320,JAMES HUNTER (OUTFITTERS) LTD=,106454,1,308.66,CLOTHING,03/12/12,360.78
800015320,JAMES HUNTER (OUTFITTERS) LTD=,106454,2,52.12,CLOTHING,03/12/12,
800015331,JAMES HUNTER (OUTFITTERS) LTD=,106465,1,477.16,CLOTHING,03/12/12,921.13
800015331,JAMES HUNTER (OUTFITTERS) LTD=,106465,2,141.08,CLOTHING,03/12/12,
800015331,JAMES HUNTER (OUTFITTERS) LTD=,106465,3,302.89,CLOTHING,03/12/12,
271112E,A M SLASKI====================,1078,1,"1,488.50",CONSULTANTS,03/12/12,"1,488.50"
800015212,*NPS (SHOES) LTD,10964A,1,30.05,CLOTHING,03/12/12,"1,879.95"
800015212,*NPS (SHOES) LTD,10964A,2,30.05,CLOTHING,03/12/12,
800015212,*NPS (SHOES) LTD,10964A,3,30.05,CLOTHING,03/12/12,
800015212,*NPS (SHOES) LTD,10964A,4,30.05,CLOTHING,03/12/12,
800015212,*NPS (SHOES) LTD,10964A,5,30.05,CLOTHING,03/12/12,
800015212,*NPS (SHOES) LTD,10964A,6,30.05,CLOTHING,03/12/12,
800015212,*NPS (SHOES) LTD,10964A,7,30.05,CLOTHING,03/12/12,
