 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
250615G,SYNERGY HEALTH LAB SERVICE LTD,136597,1,135,DRUG & ALCOHOL TESTS,02/07/2015,557.1,HR Management,Healthcare
250615G,SYNERGY HEALTH LAB SERVICE LTD,136597,2,422.1,DRUG & ALCOHOL TESTS,02/07/2015,,HR Management,Healthcare
290615G,MOOLANDS LTD,2464,1,979,TACTICAL DAY TO DAY,02/07/2015,979,Technical And Service Support,"Works - Construction, R&M"
141094,ROYAL GARDEN HOTEL(JERSEY) LTD,7,1,"1,500.00",RENTS,02/07/2015,"1,500.00",Technical And Service Support,Human Resources
290615G,BT GLOBAL SERVICES============,790149465,1,500,TELECOMMUNICATIONS,02/07/2015,500,Information and Communication Technology,ICT
250615G,AIRWAVE SOLUTIONS LTD=========,0900000186-034,1,"5,000.28",OPERATIONAL EQUIP-PURCHASE,02/07/2015,"5,000.28",Operational Resilience,ICT
800062398,*JAMES HUNTER (OUTFITTERS) LTD,108167,1,293.13,CLOTHING,02/07/2015,293.13,Operations Fire Stations,Clothing
800062400,*JAMES HUNTER (OUTFITTERS) LTD,108169,1,293.13,CLOTHING,02/07/2015,293.13,Operations Fire Stations,Clothing
290615G,RUTH LEE LTD==================,13389,1,433.8,OPERATIONAL EQUIP-PURCHASE,02/07/2015,433.8,Operations Fire Stations,Fire & Rescue
260615G,KIER BUILDING SERV ENGINEERS==,14091372,1,"16,460.05",STRATEGIC (CYCLICAL),02/07/2015,"16,460.05",Technical And Service Support,"Works - Construction, R&M"
290615G,KIER BUILDING SERV ENGINEERS==,14091373,1,"29,538.91",TACTICAL DAY TO DAY,02/07/2015,"69,561.32",Technical And Service Support,"Works - Construction, R&M"
290615G,KIER BUILDING SERV ENGINEERS==,14091373,2,530.65,TACTICAL DAY TO DAY,02/07/2015,,Technical And Service Support,"Works - Construction, R&M"
290615G,KIER BUILDING SERV ENGINEERS==,14091373,3,"1,770.09",TACTICAL DAY TO DAY,02/07/2015,,Technical And Service Support,"Works - Construction, R&M"
290615G,KIER BUILDING SERV ENGINEERS==,14091373,4,"1,909.13",TACTICAL DAY TO DAY,02/07/2015,,Technical And Service Support,"Works - Construction, R&M"
290615G,KIER BUILDING SERV ENGINEERS==,14091373,5,"27,237.27",STRATEGIC (CYCLICAL),02/07/2015,,Technical And Service Support,"Works - Construction, R&M"
290615G,KIER BUILDING SERV ENGINEERS==,14091373,6,"1,204.00",STRATEGIC (CYCLICAL),02/07/2015,,Technical And Service Support,"Works - Construction, R&M"
290615G,KIER BUILDING SERV ENGINEERS==,14091373,7,"1,509.19",STRATEGIC (CYCLICAL),02/07/2015,,Technical And Service Support,"Works - Construction, R&M"
290615G,KIER BUILDING SERV ENGINEERS==,14091373,8,"5,862.08",STRATEGIC (CYCLICAL),02/07/2015,,Technical And Service Support,"Works - Construction, R&M"
260615G,KIER BUILDING SERV ENGINEERS==,14101050,1,"16,460.05",STRATEGIC (CYCLICAL),02/07/2015,"16,460.05",Technical And Service Support,"Works - Construction, R&M"
240615M,MAYFAIR'S COACHES LTD=========,14277,1,750,CONTRACT HIRE,02/07/2015,750,Operations Non Fire Stations,Vehicle Management
180615H,BUREAU VERITAS HS&E LTD=======,15008888,1,"97,510.95",SCIENTIFIC SERVICES,02/07/2015,"97,510.95",Procurement,Environmental Services
