GOVERNMENT PROCUREMENT CARDS,,,,,,
Quarter 1 2018/19,,,,,,
,,,,,,
Date of the Transaction ,Local Authority Department which Incurred the Expenditure ,Beneficiary,Amount,Value Added Tax that cannot be recovered ,Summary of the purpose of the expenditure ,"Merchant category (eg. computers, software etc)."
09/04/2018,London Fire Brigade,Trainline,71.50,0,Last minute travel to  Manchester Fire Brigade,Travel
18/04/2018,London Fire Brigade,WWW.OFFICESTATIONERY.,49.15,0,LIFE Certificate folders,Office Equipment
24/04/2018,London Fire Brigade,WWW.BARPROFESSIONALTRA,346.00,0,Renewal of Barrister Practising Certificate,Legal Costs
27/04/2018,London Fire Brigade,CAMPAIGNMONITOR,19.00,0,Email Marketing Subscription,Software
30/04/2018,London Fire Brigade,MAILCHIMP MONTHLY,69.63,0,Email Marketing Subscription,Software
01/05/2018,London Fire Brigade,WP-WWW.OYEZFORMSLINK.C,10.39,0,Purchase of Legal Forms from Oyez,Office Equipment
06/05/2018,London Fire Brigade,HOTPOT INSTINCT,36.29,0,Food during Hong Kong trip,Subsistence
09/05/2018,London Fire Brigade,ISC 2,64.82,0,ISC2 annual membership,Subscription
10/05/2018,London Fire Brigade,LINKEDIN-381 5768424,492.79,0,Linkedin advertising,Recruitment
16/05/2018,London Fire Brigade,LINKEDIN-382 6186874,306.89,0,Linkedin advertising,Recruitment
23/05/2018,London Fire Brigade,WP-CHRYSALIS RADIO,3.99,0,LBC Catch Up subscription,Subscription
27/05/2018,London Fire Brigade,CAMPAIGNMONITOR,39.00,0,Email Marketing Subscription,Software
31/05/2018,London Fire Brigade,MAILCHIMP MONTHLY,95.17,0,Email Marketing Subscription,Software
15/06/2018,London Fire Brigade,PETS AT HOME LTD,32.00,0,Food for Fire Dog,Consumables
16/06/2018,London Fire Brigade,RAPHONE,618.00,0,Tablets,Hardware
21/06/2018,London Fire Brigade,CLICKATELL LTD,3902.03,0,Order with Clickatell for credits for Remote Access facility,Software
27/06/2018,London Fire Brigade,CAMPAIGNMONITOR,19.00,0,Email Marketing Subscription,Software
29/06/2018,London Fire Brigade,WWW.BARKSANDBUNNIES.CO,76.48,0,Equipment for Fire Dog,Equipment
30/06/2018,London Fire Brigade,MAILCHIMP MONTHLY,123.37,0,Email Marketing Subscription,Software
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
