GOVERNMENT PROCUREMENT CARDS,,,,,,
Quarter 2 2018/19,,,,,,
,,,,,,
Date of the Transaction ,Local Authority Department which Incurred the Expenditure ,Beneficiary,Amount,Value Added Tax that cannot be recovered ,Summary of the purpose of the expenditure ,"Merchant category (eg. computers, software etc)."
02/07/2018,London Fire Brigade,PARTY PUFFIN,24.81,0,Rainbow Bunting for the Pride Soho Fire Station Open Day,Equipment
03/07/2018,London Fire Brigade,CCBCOFFICE,100.00,0,Court Fee ,Legal Costs
06/07/2018,London Fire Brigade,THE BOOK SERVICE LTD T,292.27,0,Order for 50 copies of 'Sherlock',Equipment
06/07/2018,London Fire Brigade,WWW.FIXATIONUK.COM,388.34,0,Cost of repairs to faulty camera,Equipment
09/07/2018,London Fire Brigade,BALDOCK VETERINARY CEN,34.95,0,Vet Bill,Consumables
09/07/2018,London Fire Brigade,Amazon UK Marketplace,113.73,0,Book,Consumables
19/07/2018,London Fire Brigade,WWW.PETSHOPBOWL.CO.UK,62.04,0,Food for Fire Dog,Consumables
19/07/2018,London Fire Brigade,WWW.IPAYMYPCN.NET,83.95,0,Parking ticket,Travel
27/07/2018,London Fire Brigade,CAMPAIGNMONITOR,19.00,0,Email Marketing Subscription,Software
31/07/2018,London Fire Brigade,MAILCHIMP MONTHLY,123.13,0,Email Marketing Subscription,Software
02/08/2018,London Fire Brigade,THE INTELLECTUAL PROPE,600.00,0,Renewal of registered trade mark with the Intellectual Property Office.,Specialist Services
02/08/2018,London Fire Brigade,THE INTELLECTUAL PROPE,1000.00,0,Renewal of registered trade mark with the Intellectual Property Office.,Specialist Services
08/08/2018,London Fire Brigade,TOOLSTATION LTD,33.33,0,Dog Bath,Equipment
09/08/2018,London Fire Brigade,PARTY PUFFIN,115.25,0,Sundries for Fire Cadet Games,Consumables
09/08/2018,London Fire Brigade,WWW.ESCAPEINTIME.CO.UK,675.00,0,Staff Away Day for Communications Dept,Specialist Services
11/08/2018,London Fire Brigade,PETS AT HOME LTD,87.75,0,fire dog equipment,Equipment
14/08/2018,London Fire Brigade,THE BOOK SERVICE LTD T,180.36,0,Purchase of books for sale at Cadet Games,Consumables
14/08/2018,London Fire Brigade,LINKEDIN-400 6654134,243.38,0,Linkedin advertising - Assessment Centre Officer,Recruitment
15/08/2018,London Fire Brigade,STK Shutterstock,29.00,0,Access to Image Database,Subscriptions
15/08/2018,London Fire Brigade,SQ SWEET IMPRESSIONS,243.00,0,Sundries for Fire Cadet Games,Consumables
17/08/2018,London Fire Brigade,THE SAVOY HOTEL,1402.50,0,One day high level meeting LFBe Directors,Specialist Services
21/08/2018,London Fire Brigade,LAV-HIRE LTD,450.00,0,Portaloo Hire for Fire Cadet Games,Specialist Services
22/08/2018,London Fire Brigade,WILKO.COM,36.00,0,Picture frames,Consumables
22/08/2018,London Fire Brigade,WILKO.COM,274.00,0,Picture frames,Consumables
27/08/2018,London Fire Brigade,CAMPAIGNMONITOR,19.00,0,Email Marketing Subscription,Software
29/08/2018,London Fire Brigade,WWW.ARGOS.CO.UK,-94.41,0,equipment LIFE charity funding,Equipment
29/08/2018,London Fire Brigade,WWW.PMFPRODUCTS.CO.UK,31.85,0,team building games charity funding,Consumables
29/08/2018,London Fire Brigade,MASTERS TRADITIONAL,68.90,0,team building games charity funding,Consumables
29/08/2018,London Fire Brigade,WWW.ARGOS.CO.UK,94.41,0,equipment LIFE charity funding,Equipment
29/08/2018,London Fire Brigade,WWW.ARGOS.CO.UK,94.41,0,equipment LIFE charity funding,Equipment
29/08/2018,London Fire Brigade,MIAGE LIMITED,99.80,0,equipment LIFE charity funding,Equipment
29/08/2018,London Fire Brigade,WWW.GARDENGAMES.COM,154.99,0,team building games charity funding,Specialist Services
29/08/2018,London Fire Brigade,WWW.ARGOS.CO.UK,191.96,0,cooking equipment LIFE charity funding,Equipment
30/08/2018,London Fire Brigade,Amazon.co.uk,34.99,0,equipment LIFE charity funding,Equipment
30/08/2018,London Fire Brigade,Amazon.co.uk,34.99,0,equipment LIFE charity funding,Equipment
30/08/2018,London Fire Brigade,Amazon.co.uk,34.99,0,equipment LIFE charity funding,Equipment
30/08/2018,London Fire Brigade,Amazon.co.uk,34.99,0,equipment LIFE charity funding,Equipment
30/08/2018,London Fire Brigade,GATWICK AIRPORT LIMITE,65.00,0,Airport Parking,Travel
30/08/2018,London Fire Brigade,JACK FROST PET PRODUCT,140.06,0,Jack Frost Pet & Country Store,Equipment
31/08/2018,London Fire Brigade,MAILCHIMP MONTHLY,72.99,0,Email Marketing Subscription,Software
31/08/2018,London Fire Brigade,EB 2018 FL NATIONAL S,420.00,0,2 X Tickets for award ceremony.,Specialist Services
03/09/2018,London Fire Brigade,B A C B,30.00,0,Institute of Internal Communications,Subscriptions
05/09/2018,London Fire Brigade,DECATHLON UK,51.96,0,equipment LIFE charity funding,Equipment
05/09/2018,London Fire Brigade,THE FAMILY PLANNING AS,160.89,0,equipment LIFE charity funding,Equipment
05/09/2018,London Fire Brigade,MIAGE LIMITED,249.50,0,cooking equipment LIFE charity funding,Equipment
06/09/2018,London Fire Brigade,AMZN MKTP UK AMAZON.CO,29.24,0,equipment LIFE charity funding,Equipment
06/09/2018,London Fire Brigade,AMZN MKTP UK AMAZON.CO,47.95,0,equipment LIFE charity funding,Equipment
06/09/2018,London Fire Brigade,UK CAA APPLY ONLINE,247.00,0,Drone License Civil Aviation Authority,Subscriptions
10/09/2018,London Fire Brigade,WESTMINSTER CITY COUNC,25.00,0,WCC Fee for vintage fire appliance,Specialist Services
11/09/2018,London Fire Brigade,WWW.EPSOM-EWELL.GOV.UK,70.00,0,Parking ticket,Travel
17/09/2018,London Fire Brigade,AMZN MKTP UK AMAZON.CO,71.82,0,equipment cadets,Equipment
18/09/2018,London Fire Brigade,WWW.PETSHOPBOWL.CO.UK,42.29,0,Food for Fire Dog,Consumables
18/09/2018,London Fire Brigade,BLITZ COMMUNICATIONS L,778.80,0,Payment for audio visual services,Hardware
20/09/2018,London Fire Brigade,WWW.PETSHOPBOWL.CO.UK,32.30,0,Food for Fire Dog,Consumables
26/09/2018,London Fire Brigade,WWW.PETSHOPBOWL.CO.UK,29.06,0,Food for Fire Dog,Consumables
27/09/2018,London Fire Brigade,CAMPAIGNMONITOR,19.00,0,Email Marketing Subscription,Software
30/09/2018,London Fire Brigade,MAILCHIMP MONTHLY,73.63,0,Email Marketing Subscription,Software
