 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid
139790,OGILVIE FLEET LTD=============,00196496,1,"2,561.62",LEASE CAR CHARGES,02/08/12,"3,710.28"
139790,OGILVIE FLEET LTD=============,00196496,2,"1,148.66",P/PAYMTS-CAR LEASG-RENTAL,02/08/12,
139790,OGILVIE FLEET LTD=============,00196496,3,-312.13,VAT CAR LEASING,02/08/12,
139790,OGILVIE FLEET LTD=============,00196496,4,312.13,LEASE CAR CHARGES,02/08/12,
139790,OGILVIE FLEET LTD=============,00199318,1,"3,946.84",LEASE CAR CHARGES,02/08/12,"5,605.44"
139790,OGILVIE FLEET LTD=============,00199318,2,"1,658.60",P/PAYMTS-CAR LEASG-RENTAL,02/08/12,
139790,OGILVIE FLEET LTD=============,00199318,3,-507.28,VAT CAR LEASING,02/08/12,
139790,OGILVIE FLEET LTD=============,00199318,4,507.28,LEASE CAR CHARGES,02/08/12,
270712E,STEELCASE SOLUTIONS===========,0035383,1,697.30,OFFICE FURNITURE,02/08/12,697.30
270712C,*PRINCIPAL CATERING CONSULTNTS,048149,1,96.00,REFRESHMENTS,02/08/12,528.50
270712C,*PRINCIPAL CATERING CONSULTNTS,048149,2,432.50,REFRESHMENTS,02/08/12,
139781,CORONA ENERGY RETAIL 4 LTD,072335552,1,"11,897.28",GAS,02/08/12,"11,897.28"
310712F,AIRWAVE SOLUTIONS LTD=========,0900000186-021,1,"4,383.78",OPERATIONAL EQUIP-PURCHASE,02/08/12,"4,383.78"
310712G,SURREY POLICE AUTHORITY=======,1005150,1,"1,527.78",TRAINING & CONFERENCES,02/08/12,"1,527.78"
270712C,VEOLIA WATER CENTRAL LIMITED==,10102243,1,754.00,CURRENT HYDRANT COSTS,02/08/12,754.00
270712C,*SPRUE SAFETY PRODUCTS LTD====,1034207,1,505.60,FIRE DETECTORS,02/08/12,505.60
270712C,*SPRUE SAFETY PRODUCTS LTD====,1034219,1,758.40,FIRE DETECTORS,02/08/12,758.40
270712C,*SPRUE SAFETY PRODUCTS LTD====,1034304,1,"1,137.60",FIRE DETECTORS,02/08/12,"1,137.60"
310712F,*SPRUE SAFETY PRODUCTS LTD====,1034830,1,632.00,FIRE DETECTORS,02/08/12,632.00
270712C,*SPRUE SAFETY PRODUCTS LTD====,1034831,1,505.60,FIRE DETECTORS,02/08/12,505.60
139790,GALLAGHER HEATH,10433475,1,"4,971.18",PREMIUMS,02/08/12,"6,628.24"
139790,GALLAGHER HEATH,10433475,2,"1,657.06",PAYMENTS IN ADVANCE,02/08/12,
160712G,SILVERSANDS LIMITED===========,118427,1,"2,850.00",DEVELOPMENT EXP - CONTRACTORS,02/08/12,"5,700.00"
