Invoice Number, Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,26,152.23,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,27,80.61,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,28,270.00,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,29,284.60,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,30,17.92,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,31,35.82,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,32,134.33,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,33,35.82,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,34,59.82,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,35,17.92,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,36,17.91,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,37,62.69,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,38,236.85,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,39,221.19,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,40,62.67,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,41,35.82,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,42,17.91,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
