 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid
270314C,MOOLANDS LTD,00000527,1,"4,998.00",STRATEGIC (NON CYCLICAL),02/04/14,"4,998.00"
270314C,MOOLANDS LTD,00000539,1,"7,711.00",DAY TO DAY MINOR IMPS,02/04/14,"7,711.00"
200314C,GEORGE JONES & SON LTD========,036829,1,"2,445.91",STRATEGIC (NON CYCLICAL),02/04/14,"2,445.91"
200314C,GEORGE JONES & SON LTD========,036830,1,"15,738.11",STRATEGIC (NON CYCLICAL),02/04/14,"15,738.11"
200314C,GEORGE JONES & SON LTD========,036833,1,"8,952.74",STRATEGIC (NON CYCLICAL),02/04/14,"8,952.74"
200314C,GEORGE JONES & SON LTD========,036834,1,"26,900.28",STRATEGIC (NON CYCLICAL),02/04/14,"27,806.28"
200314C,GEORGE JONES & SON LTD========,036834,2,906.00,STRATEGIC (NON CYCLICAL),02/04/14,
200314C,GEORGE JONES & SON LTD========,036835,1,"7,158.21",STRATEGIC (NON CYCLICAL),02/04/14,"7,158.21"
260314G,GEORGE JONES & SON LTD========,036836,1,"6,862.24",STRATEGIC (NON CYCLICAL),02/04/14,"6,862.24"
200314C,GEORGE JONES & SON LTD========,036837,1,"15,190.56",STRATEGIC (NON CYCLICAL),02/04/14,"15,190.56"
200314C,GEORGE JONES & SON LTD========,036838,1,"11,465.75",STRATEGIC (NON CYCLICAL),02/04/14,"11,465.75"
310314F,FIRE PREVENTION PRODUCTS LTD==,045838,1,317.40,OPERATIONAL EQUIP-PURCHASE,02/04/14,317.40
140620,THAMES WATER UTILITIES LTD====,0592996051X,1,816.51,WATER & SEWERAGE RATES,02/04/14,816.51
270314C,HAYS ACCOUNTANCY & FINANCE====,1004143340,1,899.00,FRS STAFF AGENCY,02/04/14,899.00
270314C,AFFINITY WATER,101034747,1,341.00,CURRENT HYDRANT COSTS,02/04/14,341.00
800024460,*JAMES HUNTER (OUTFITTERS) LTD,107256,1,285.07,CLOTHING,02/04/14,285.07
800024466,*JAMES HUNTER (OUTFITTERS) LTD,107262,1,141.08,CLOTHING,02/04/14,275.46
800024466,*JAMES HUNTER (OUTFITTERS) LTD,107262,2,134.38,CLOTHING,02/04/14,
140622,MISS REBECCA THOMAS===========,107644,1,675.00,COUNSELS FEES,02/04/14,675.00
270314E,ACL ELECTRICAL LIMITED,11183,1,"4,344.80",DEVELOPMENT  EXPENSES-CONTRACT,02/04/14,"34,116.57"
270314E,ACL ELECTRICAL LIMITED,11183,2,"3,470.07",DEVELOPMENT  EXPENSES-CONTRACT,02/04/14,
270314E,ACL ELECTRICAL LIMITED,11183,3,"4,403.72",DEVELOPMENT  EXPENSES-CONTRACT,02/04/14,
270314E,ACL ELECTRICAL LIMITED,11183,4,"6,757.12",DEVELOPMENT  EXPENSES-CONTRACT,02/04/14,
270314E,ACL ELECTRICAL LIMITED,11183,5,"4,067.25",DEVELOPMENT  EXPENSES-CONTRACT,02/04/14,
270314E,ACL ELECTRICAL LIMITED,11183,6,"5,957.98",DEVELOPMENT  EXPENSES-CONTRACT,02/04/14,
270314E,ACL ELECTRICAL LIMITED,11183,7,"5,115.63",DEVELOPMENT  EXPENSES-CONTRACT,02/04/14,
140618,BOURNE CONSTRUCTION COMPANY,13/493,1,836.00,STRATEGIC (NON CYCLICAL),02/04/14,"1,081.00"
140618,BOURNE CONSTRUCTION COMPANY,13/493,2,245.00,STRATEGIC (NON CYCLICAL),02/04/14,
140618,BOURNE CONSTRUCTION COMPANY,13/494,1,735.00,STRATEGIC (NON CYCLICAL),02/04/14,970.00
140618,BOURNE CONSTRUCTION COMPANY,13/494,2,235.00,STRATEGIC (NON CYCLICAL),02/04/14,
140618,BOURNE CONSTRUCTION COMPANY,13/495,1,625.00,STRATEGIC (NON CYCLICAL),02/04/14,845.00
140618,BOURNE CONSTRUCTION COMPANY,13/495,2,220.00,STRATEGIC (NON CYCLICAL),02/04/14,
140618,BOURNE CONSTRUCTION COMPANY,13/496,1,640.00,STRATEGIC (NON CYCLICAL),02/04/14,920.00
140618,BOURNE CONSTRUCTION COMPANY,13/496,2,280.00,STRATEGIC (NON CYCLICAL),02/04/14,
140618,BOURNE CONSTRUCTION COMPANY,13/497,1,660.00,STRATEGIC (NON CYCLICAL),02/04/14,980.00
140618,BOURNE CONSTRUCTION COMPANY,13/497,2,320.00,STRATEGIC (NON CYCLICAL),02/04/14,
140618,BOURNE CONSTRUCTION COMPANY,13/498,1,820.00,STRATEGIC (NON CYCLICAL),02/04/14,"1,050.00"
140618,BOURNE CONSTRUCTION COMPANY,13/498,2,230.00,STRATEGIC (NON CYCLICAL),02/04/14,
140618,BOURNE CONSTRUCTION COMPANY,13/499,1,"3,000.00",STRATEGIC (NON CYCLICAL),02/04/14,"9,850.00"
140618,BOURNE CONSTRUCTION COMPANY,13/499,2,"6,850.00",STRATEGIC (NON CYCLICAL),02/04/14,
270314C,KIER BUILDING SERV ENGINEERS==,13090656,1,"164,793.55",TACTICAL DAY TO DAY,02/04/14,"194,793.55"
270314C,KIER BUILDING SERV ENGINEERS==,13090656,2,"30,000.00",STRATEGIC (CYCLICAL),02/04/14,
270314E,KIER BUILDING SERV ENGINEERS==,13090708,1,"35,094.92",TACTICAL DAY TO DAY,02/04/14,"73,464.75"
270314E,KIER BUILDING SERV ENGINEERS==,13090708,2,523.32,TACTICAL DAY TO DAY,02/04/14,
270314E,KIER BUILDING SERV ENGINEERS==,13090708,3,"1,745.65",TACTICAL DAY TO DAY,02/04/14,
270314E,KIER BUILDING SERV ENGINEERS==,13090708,4,"1,882.77",TACTICAL DAY TO DAY,02/04/14,
270314E,KIER BUILDING SERV ENGINEERS==,13090708,5,"25,761.20",STRATEGIC (CYCLICAL),02/04/14,
270314E,KIER BUILDING SERV ENGINEERS==,13090708,6,"1,187.39",STRATEGIC (CYCLICAL),02/04/14,
270314E,KIER BUILDING SERV ENGINEERS==,13090708,7,"1,488.35",STRATEGIC (CYCLICAL),02/04/14,
270314E,KIER BUILDING SERV ENGINEERS==,13090708,8,"5,781.15",STRATEGIC (CYCLICAL),02/04/14,
