 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid
260214C,JEWERS SPECIALIST DOORS=======,0000009393,1,"3,041.25",DEVELOPMENT  EXPENSES-CONTRACT,03/03/14,"3,041.25"
260214C,JEWERS SPECIALIST DOORS=======,0000009394,1,"1,906.50",DEVELOPMENT  EXPENSES-CONTRACT,03/03/14,"1,906.50"
260214E,*PREMIER VANGUARD LTD,00684557,1,59.70,STATIONERY CONSUMABLES,03/03/14,279.00
260214E,*PREMIER VANGUARD LTD,00684557,2,106.40,STATIONERY CONSUMABLES,03/03/14,
260214E,*PREMIER VANGUARD LTD,00684557,3,59.70,STATIONERY CONSUMABLES,03/03/14,
260214E,*PREMIER VANGUARD LTD,00684557,4,53.20,STATIONERY CONSUMABLES,03/03/14,
260214C,APTCO,101819,1,180.00,OPERATIONAL EQUIP-PURCHASE,03/03/14,360.00
260214C,APTCO,101819,2,180.00,OPERATIONAL EQUIP-PURCHASE,03/03/14,
260214C,*SPRUE SAFETY PRODUCTS LTD====,1056115,1,988.80,FIRE DETECTORS,03/03/14,988.80
260214C,*SPRUE SAFETY PRODUCTS LTD====,1056119,1,"1,730.40",FIRE DETECTORS,03/03/14,"1,730.40"
260214G,INFOR (UNITED KINGDOM) LIMITED,11400154-GB04G,1,535.00,MAINTENANCE & SUPPORT,03/03/14,"1,605.00"
260214G,INFOR (UNITED KINGDOM) LIMITED,11400154-GB04G,2,"1,070.00",MAINTENANCE & SUPPORT,03/03/14,
260214E,RUTH LEE LTD==================,11886,1,330.00,PROTECTIVE EQUIPT - PARTS,03/03/14,340.00
260214E,RUTH LEE LTD==================,11886,2,10.00,REPAIR & MAINTENANCE,03/03/14,
260214C,VISTA LANDSCAPE MANAGEMENT LTD,119383,1,387.39,GROUNDS MAINTENANCE,03/03/14,387.39
800029725,REDFERN TRAVEL LTD,1219150,1,571.40,PUBLIC TRANSPORT,03/03/14,571.40
800029730,REDFERN TRAVEL LTD,1219275,1,441.45,PUBLIC TRANSPORT,03/03/14,441.45
800029713,REDFERN TRAVEL LTD,1220074,1,703.48,OVERSEAS TRAVEL,03/03/14,703.48
800029744,REDFERN TRAVEL LTD,1222320,1,347.80,PUBLIC TRANSPORT,03/03/14,347.80
800029746,REDFERN TRAVEL LTD,1222430,1,"1,030.20",PUBLIC TRANSPORT,03/03/14,"1,030.20"
800029745,REDFERN TRAVEL LTD,1222435,1,411.40,PUBLIC TRANSPORT,03/03/14,411.40
800029779,REDFERN TRAVEL LTD,1230257,1,286.93,PUBLIC TRANSPORT,03/03/14,286.93
800029781,REDFERN TRAVEL LTD,1230286,1,586.84,PUBLIC TRANSPORT,03/03/14,586.84
800029782,REDFERN TRAVEL LTD,1230608,1,283.40,PUBLIC TRANSPORT,03/03/14,283.40
800029778,REDFERN TRAVEL LTD,1231659,1,353.84,PUBLIC TRANSPORT,03/03/14,353.84
800029794,REDFERN TRAVEL LTD,1232670,1,287.40,PUBLIC TRANSPORT,03/03/14,287.40
