 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
141671,DEPARTMENT FOR WORK & PENSIONS,9002*,1,585.00,DWP NHS CHARGES,02/11/16,585.00,Compensation Budgets,Statutory Bodies
141382,DEPARTMENT FOR WORK & PENSIONS,9623,1,829.00,DWP NHS CHARGES,02/11/16,829.00,Compensation Budgets,Statutory Bodies
902686,BABCOCK CRITICAL SERVICES LTD,SMAI001697,1,"255,538.34",VEHICLES,02/11/16,"891,011.99",Procurement,Consultancy
902686,BABCOCK CRITICAL SERVICES LTD,SMAI001697,2,"619,526.84",VEHICLES,02/11/16,,Procurement,Consultancy
902686,BABCOCK CRITICAL SERVICES LTD,SMAI001697,3,"2,234.21",LOST & NFWT OPS EQUIPMENT,02/11/16,,Procurement,Consultancy
902686,BABCOCK CRITICAL SERVICES LTD,SMAI001697,4,"5,188.71",VEHICLES NWFT,02/11/16,,Procurement,Consultancy
902686,BABCOCK CRITICAL SERVICES LTD,SMAI001697,5,"2,398.97",ACCIDENT REPAIRS,02/11/16,,Procurement,Consultancy
902686,BABCOCK CRITICAL SERVICES LTD,SMAI001697,6,"1,560.18",ACCIDENT REPAIRS,02/11/16,,Procurement,Consultancy
902686,BABCOCK CRITICAL SERVICES LTD,SMAI001697,7,"2,571.36",PURCHASES-PLANT/MACHINERY,02/11/16,,Procurement,Consultancy
902686,BABCOCK CRITICAL SERVICES LTD,SMAI001697,8,545.82,MODIFICATIONS,02/11/16,,Procurement,Consultancy
902686,BABCOCK CRITICAL SERVICES LTD,SMAI001697,9,"1,155.00",VEHICLES,02/11/16,,Procurement,Consultancy
902686,BABCOCK CRITICAL SERVICES LTD,SMAI001697,10,292.56,GENERAL,02/11/16,,LFB 150th Anniversary,Consultancy
311016K,SYNERGY HEALTH LAB SERVICE LTD,0000173629,1,265.00,DRUG & ALCOHOL TESTS,03/11/16,265.00,HR Management,Healthcare
281016K,BRIGLY FIRE LTD,0150,1,"3,666.60",CONSULTANTS,03/11/16,"3,666.60",Fire Safety Regulation,Fire & Rescue
271016G,VIMPEX LIMITED================,100035,1,"1,006.40",CLOTHING,03/11/16,"1,635.40",Cadets,Fire & Rescue
271016G,VIMPEX LIMITED================,100035,2,629.00,CLOTHING,03/11/16,,Cadets,Fire & Rescue
311016K,INFOR (UNITED KINGDOM) LIMITED,11620902-GB04G,1,"2,040.00",MAINTENANCE & SUPPORT,03/11/16,"2,040.00",Information and Communication Technology,ICT
311016K,INFOR (UNITED KINGDOM) LIMITED,11620912-GB0G,1,"1,360.00",MAINTENANCE & SUPPORT,03/11/16,"2,040.00",Information and Communication Technology,ICT
311016K,INFOR (UNITED KINGDOM) LIMITED,11620912-GB0G,2,680.00,MAINTENANCE & SUPPORT,03/11/16,,Information and Communication Technology,ICT
311016K,RESPIREX======================,157536,1,130.00,OPERATIONAL EQUIP-PURCHASE,03/11/16,"1,690.00",Operational Policy,Clothing
311016K,RESPIREX======================,157536,2,390.00,OPERATIONAL EQUIP-PURCHASE,03/11/16,,Operational Policy,Clothing
311016K,RESPIREX======================,157536,3,325.00,OPERATIONAL EQUIP-PURCHASE,03/11/16,,Operational Policy,Clothing
311016K,RESPIREX======================,157536,4,585.00,OPERATIONAL EQUIP-PURCHASE,03/11/16,,Operational Policy,Clothing
311016K,RESPIREX======================,157536,5,260.00,OPERATIONAL EQUIP-PURCHASE,03/11/16,,Operational Policy,Clothing
800090370,TOTAL SUPPORT SERVICES,161013,1,768.28,REACTIVE APPLIANCE BAY DOORS,03/11/16,"2,223.28",Technical and Service Support,Works - Construction
800090370,TOTAL SUPPORT SERVICES,161013,2,120.00,REACTIVE APPLIANCE BAY DOORS,03/11/16,,Technical and Service Support,Works - Construction
