 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid
139872,GOOD ENERGY===================,003016060U,1,780.87,ELECTRICITY,01/10/12,780.87
260912E,JLA,019767,1,"1,000.00",PUBLIC RELATIONS,01/10/12,"1,000.00"
260912E,INTRANET FOCUS,02/09/12,1,"3,600.00",CONSULTANTS,01/10/12,"3,600.00"
139872,THAMES WATER UTILITIES LTD====,0372482310H,1,946.82,WATER & SEWERAGE RATES,01/10/12,946.82
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,1,406.90,FUEL,01/10/12,"25,998.19"
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,2,141.07,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,3,160.90,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,4,246.05,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,5,272.23,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,6,94.84,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,7,117.85,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,8,342.88,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,9,214.71,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,10,262.36,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,11,294.04,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,12,394.49,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,13,245.19,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,14,307.40,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,15,307.92,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,16,382.47,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,17,147.18,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,18,134.69,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,19,117.22,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,20,265.63,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,21,118.44,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,22,251.20,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,23,204.81,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,24,180.93,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,25,220.45,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,26,193.13,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,27,292.25,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,28,237.74,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,29,386.82,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,30,272.85,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,31,543.24,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,32,292.79,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,33,425.79,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,34,337.46,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,35,548.68,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,36,134.59,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,37,426.83,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,38,114.37,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,39,88.71,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,40,524.63,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,41,158.06,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,42,152.71,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,43,176.63,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,44,231.80,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,45,85.03,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,46,289.67,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,47,218.67,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,48,168.73,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,49,202.99,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,50,377.23,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,51,268.13,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,52,719.27,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,53,524.16,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,54,349.21,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,55,309.12,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,56,252.36,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,57,414.12,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,58,103.24,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,59,225.98,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,60,154.72,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,61,207.75,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,62,287.45,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,63,198.90,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,64,118.47,FUEL,01/10/12,
260912E,ALLSTAR BUSINESS SOLUTIONS LTD,1019126037,65,184.38,FUEL,01/10/12,
