 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Title
200315H,HALL FUELS,I07466349,1,"2,799.60",FUEL,02/04/2015,"2,799.60",Operations Fire Stations,Vehicle Management
200315H,HALL FUELS,I07466350,1,"1,866.40",FUEL,02/04/2015,"1,866.40",Operations Fire Stations,Vehicle Management
260315H,HALL FUELS,I07470466,1,"2,799.60",FUEL,02/04/2015,"2,799.60",Operations Fire Stations,Vehicle Management
260315H,HALL FUELS,I07474634,1,"2,769.90",FUEL,02/04/2015,"2,769.90",Operations Fire Stations,Vehicle Management
230315H,BABCOCK CIVIL INFRASTRUCTURE,II5001077,1,"28,641.37",STRATEGIC (CYCLICAL),02/04/2015,"28,641.37",Technical And Service Support,"Works - Construction, R&M"
230315H,BABCOCK CIVIL INFRASTRUCTURE,II5001079,1,644.92,STRATEGIC (NON CYCLICAL),02/04/2015,644.92,Technical And Service Support,"Works - Construction, R&M"
230315H,BLUESKY SHAREPOINT CONSULTING,INV-1456,1,"22,950.00",CONSULTANTS,02/04/2015,"22,950.00",Corporate Projects,Consultancy
300315H,WALTER FRANK & SONS LIMITED===,INV/13476,1,496,PROTECTIVE EQUIPMENT,02/04/2015,"1,433.00",Technical And Service Support,Fire & Rescue
300315H,WALTER FRANK & SONS LIMITED===,INV/13476,2,937,PROTECTIVE EQUIPMENT,02/04/2015,,Technical And Service Support,Fire & Rescue
270315H,OPP LTD=======================,INV0550374,1,395,ASSESSMENTS,02/04/2015,395,HR Management,Human Resources
270315H,CANNON'S MSA LTD,INV1083109,1,325,PROTECTIVE EQUIPMENT R & D,02/04/2015,569,Operational Procedures,Vehicle Management
270315H,CANNON'S MSA LTD,INV1083109,2,140,PROTECTIVE EQUIPMENT R & D,02/04/2015,,Operational Procedures,Vehicle Management
270315H,CANNON'S MSA LTD,INV1083109,3,104,PROTECTIVE EQUIPMENT R & D,02/04/2015,,Operational Procedures,Vehicle Management
270315H,BRISSCO SIGNS & GRAPHICS======,INV88268,1,821,HYDRANTS,02/04/2015,821,Operational Resilience,Fire & Rescue
250315C,BENNETT MECHANICAL SERVICES LT,L5110,1,"28,815.87",PROF FEES-MISCELLANEOUS,02/04/2015,"28,815.87",Technical and Service Support,Building Constr Materials
141008,L B OF SOUTHWARK==============,LEG/CONV/RS080/3542/MK,1,"1,000.00",CONSULTANTS,02/04/2015,"1,000.00",Technical And Service Support,Statutory Bodies
300315H,ONE STOP LANGUAGE SERVICES LTD,LFB-220,1,252.9,CONSULTANTS,02/04/2015,252.9,Communications,Human Resources
300315H,COFELY WORKPLACE LIMITED,M132723,1,165,STRATEGIC (NON CYCLICAL),02/04/2015,"1,976.59",Technical and Service Support,"Works - Construction, R&M"
300315H,COFELY WORKPLACE LIMITED,M132723,2,31.71,STRATEGIC (NON CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
300315H,COFELY WORKPLACE LIMITED,M132723,3,291.5,STRATEGIC (NON CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
300315H,COFELY WORKPLACE LIMITED,M132723,4,144.36,STRATEGIC (NON CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
300315H,COFELY WORKPLACE LIMITED,M132723,5,361.57,STRATEGIC (NON CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
300315H,COFELY WORKPLACE LIMITED,M132723,6,49.07,STRATEGIC (NON CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
300315H,COFELY WORKPLACE LIMITED,M132723,7,21.57,STRATEGIC (NON CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
300315H,COFELY WORKPLACE LIMITED,M132723,8,121.25,STRATEGIC (NON CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
300315H,COFELY WORKPLACE LIMITED,M132723,9,395.14,STRATEGIC (NON CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
300315H,COFELY WORKPLACE LIMITED,M132723,10,191.36,STRATEGIC (NON CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
300315H,COFELY WORKPLACE LIMITED,M132723,11,160.38,STRATEGIC (NON CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
300315H,COFELY WORKPLACE LIMITED,M132723,12,43.68,STRATEGIC (NON CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
300315H,COFELY WORKPLACE LIMITED,M134327,1,58.23,STRATEGIC (NON CYCLICAL),02/04/2015,"1,478.62",Technical and Service Support,"Works - Construction, R&M"
300315H,COFELY WORKPLACE LIMITED,M134327,2,594,STRATEGIC (NON CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
300315H,COFELY WORKPLACE LIMITED,M134327,3,172.56,STRATEGIC (NON CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
300315H,COFELY WORKPLACE LIMITED,M134327,4,28.27,STRATEGIC (NON CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
300315H,COFELY WORKPLACE LIMITED,M134327,5,136.73,STRATEGIC (NON CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
300315H,COFELY WORKPLACE LIMITED,M134327,6,102.76,STRATEGIC (NON CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
300315H,COFELY WORKPLACE LIMITED,M134327,7,269.61,STRATEGIC (NON CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
300315H,COFELY WORKPLACE LIMITED,M134327,8,24.25,STRATEGIC (NON CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
300315H,COFELY WORKPLACE LIMITED,M134327,9,43.14,STRATEGIC (NON CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
300315H,COFELY WORKPLACE LIMITED,M134327,10,49.07,STRATEGIC (NON CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,1,655.6,STRATEGIC (CYCLICAL),02/04/2015,"10,423.42",Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,2,258.84,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,3,121.25,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,4,39.55,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,5,60.63,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,6,168.89,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,7,110,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,8,32.36,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,9,32.36,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,10,38.68,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,11,168.75,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,12,43.14,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,13,203.5,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,14,249.35,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,15,18.19,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,16,36.38,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,17,35.83,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,18,86.28,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,19,12.8,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,20,21.57,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,21,165,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,22,203.5,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,23,169.69,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,24,82.5,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,25,20.29,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,26,35.08,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,27,241.89,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,28,24.25,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,29,48.5,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,30,35.08,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,31,32.36,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,32,35.08,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,33,142.23,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,34,136.2,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,35,165,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,36,203.5,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,37,145.6,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,38,203.5,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,39,639.95,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,40,310.89,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,41,121,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,42,655.6,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,43,167.2,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,44,70.1,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,45,248.75,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,46,163.39,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,47,30,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,48,35.08,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,49,203.5,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,50,114,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,51,43.14,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,52,299.75,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,53,37.75,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,54,121.25,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,55,132,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,56,98.39,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,57,207.79,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,58,897.6,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,59,70.07,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,60,189.75,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,61,124.16,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,62,198,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,63,35.08,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,64,66,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,65,203.5,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,66,49.02,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,67,140.8,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
250315C,COFELY WORKPLACE LIMITED,M135055,68,266.71,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
300315H,ETC VENUES LTD================,MO-102630,1,944,PROFESSIONAL DEVELOPMENT,02/04/2015,944,Corporate Projects,Human Resources
240315H,SPECIALIST COMPUTER CENTRES===,OP/L976965,1,294.78,ACQUISITIONS,02/04/2015,294.78,Information and Communication Technology,ICT
260315H,UNIVERSAL AV SERVICES LTD,P14202C/14203C,1,380,PROFESSIONAL DEVELOPMENT,02/04/2015,380,Corporate Projects,Arts & Leisure Services
141007,ARVAL UK LTD,RI0001584457,1,407.46,LEASE CAR CHARGES,02/04/2015,407.46,Procurement,Vehicle Management
141007,ARVAL UK LTD,RI0001584457,2,-33.95,VAT CAR LEASING,02/04/2015,,Finance Services,Vehicle Management
141007,ARVAL UK LTD,RI0001584457,3,33.95,LEASE CAR CHARGES,02/04/2015,,Procurement,Vehicle Management
200315F,NEWITT & CO LTD===============,SALE-0296409,1,545.67,OFFICE EQUIPMENT,02/04/2015,545.67,HR Management,Sports & Playground Equip
300315H,HUNTER LODGE==================,SI-05760,1,"10,000.00",ADVERTISING,02/04/2015,"24,209.93",Communications,Facilities & Management S
300315H,HUNTER LODGE==================,SI-05760,2,"10,000.00",ADVERTISING,02/04/2015,,Communications,Facilities & Management S
300315H,HUNTER LODGE==================,SI-05760,3,"4,209.93",ADVERTISING,02/04/2015,,Communications,Facilities & Management S
141007,VEOLIA WATER PROJECTS LTD=====,SI-15-0000344,1,"4,089.05",ELECTRICITY,02/04/2015,"4,089.05",Technical And Service Support,Utilities
300315H,SUTTON & EAST SURREY WATER PLC,SI033367,1,"1,152.00",CURRENT HYDRANT COSTS,02/04/2015,"1,152.00",Operational Resilience,Utilities
300315H,SUTTON & EAST SURREY WATER PLC,SI033368,1,"1,152.00",CURRENT HYDRANT COSTS,02/04/2015,"1,152.00",Operational Resilience,Utilities
300315H,SUTTON & EAST SURREY WATER PLC,SI033370,1,358,CURRENT HYDRANT COSTS,02/04/2015,358,Operational Resilience,Utilities
180315H,1SPATIAL,SIN002610,1,860,MAINTENANCE & SUPPORT,02/04/2015,"15,660.00",Information and Communication Technology,ICT
180315H,1SPATIAL,SIN002610,2,"4,300.00",MAINTENANCE & SUPPORT,02/04/2015,,Information and Communication Technology,ICT
180315H,1SPATIAL,SIN002610,3,"10,500.00",MAINTENANCE & SUPPORT,02/04/2015,,Information and Communication Technology,ICT
190315H,1SPATIAL,SIN002616,1,"1,200.00",CONSULTANTS,02/04/2015,"1,200.00",Strategy & Performance,ICT
200315H,OPPORTUNITY NOW,SIN048146,1,"3,280.00",SUBSCRIPTIONS,02/04/2015,"3,280.00",HR Management,Education
300315H,CENTRAL CITY TRAINING VENUES,SQ16994,1,"1,680.00",PROFESSIONAL DEVELOPMENT,02/04/2015,"1,680.00",Fire Safety Regulation,Human Resources
800060019,*THOMAS KNEALE & CO LTD,TK109902,1,1.48,CLOTHING,02/04/2015,"1,436.10",Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,2,669.9,COMMUNITY RELATIONS,02/04/2015,,Community Safety Delivery,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,3,44.95,COMMUNITY RELATIONS,02/04/2015,,Community Safety Delivery,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,4,6.95,COMMUNITY RELATIONS,02/04/2015,,Community Safety Delivery,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,5,59.9,COMMUNITY RELATIONS,02/04/2015,,Community Safety Delivery,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,6,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,7,3.47,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,8,1.48,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,9,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,10,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,11,0.99,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,12,6.94,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,13,2.96,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,14,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,15,3.47,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,16,1.48,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,17,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,18,2.59,OFFICE FURNITURE,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,19,3.47,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,20,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,21,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,22,3.47,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,23,1.48,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,24,3.47,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,25,1.48,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,26,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,27,3.47,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,28,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,29,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,30,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,31,3.47,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,32,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,33,6.94,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,34,2.96,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,35,3.47,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,36,1.48,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,37,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,38,3.47,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,39,0.99,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,40,6.94,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,41,2.96,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,42,2.59,OFFICE FURNITURE,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,43,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,44,3.47,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,45,1.48,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,46,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,47,103.6,OFFICE FURNITURE,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,48,0.99,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,49,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,50,6.94,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,51,2.96,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,52,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,53,6.94,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,54,2.96,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,55,0.99,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,56,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,57,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,58,3.47,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,59,1.48,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,60,4.98,OFFICE FURNITURE,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,61,3.47,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,62,1.48,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,63,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,64,0.99,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,65,3.47,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,66,10.89,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
800060019,*THOMAS KNEALE & CO LTD,TK109902,67,3.47,CLOTHING,02/04/2015,,Operations Fire Stations,Furniture
