 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Title
300315H,*SPRUE SAFETY PRODUCTS LTD====,1072676,1,988.8,FIRE DETECTORS,02/04/2015,988.8,Operations Non Fire Stations,Health & Safety
300315H,*SPRUE SAFETY PRODUCTS LTD====,1072677,1,"1,236.00",FIRE DETECTORS,02/04/2015,"1,236.00",Operations Non Fire Stations,Health & Safety
300315H,*SPRUE SAFETY PRODUCTS LTD====,1072678,1,"1,236.00",FIRE DETECTORS,02/04/2015,"1,236.00",Operations Non Fire Stations,Health & Safety
300315H,*SPRUE SAFETY PRODUCTS LTD====,1072679,1,"2,472.00",FIRE DETECTORS,02/04/2015,"2,472.00",Operations Non Fire Stations,Health & Safety
300315H,*SPRUE SAFETY PRODUCTS LTD====,1072680,1,"1,236.00",FIRE DETECTORS,02/04/2015,"1,236.00",Operations Non Fire Stations,Health & Safety
300315H,*SPRUE SAFETY PRODUCTS LTD====,1072686,1,988.8,FIRE DETECTORS,02/04/2015,988.8,Operations Non Fire Stations,Health & Safety
300315H,*SPRUE SAFETY PRODUCTS LTD====,1072691,1,"2,472.00",FIRE DETECTORS,02/04/2015,"2,472.00",Operations Non Fire Stations,Health & Safety
300315H,*SPRUE SAFETY PRODUCTS LTD====,1072692,1,"2,472.00",FIRE DETECTORS,02/04/2015,"2,472.00",Operations Non Fire Stations,Health & Safety
300315H,*SPRUE SAFETY PRODUCTS LTD====,1072693,1,"2,472.00",FIRE DETECTORS,02/04/2015,"2,472.00",Operations Non Fire Stations,Health & Safety
300315H,*SPRUE SAFETY PRODUCTS LTD====,1072694,1,"2,472.00",FIRE DETECTORS,02/04/2015,"2,472.00",Operations Non Fire Stations,Health & Safety
300315H,*SPRUE SAFETY PRODUCTS LTD====,1072695,1,988.8,FIRE DETECTORS,02/04/2015,988.8,Operations Non Fire Stations,Health & Safety
300315H,*SPRUE SAFETY PRODUCTS LTD====,1072696,1,"1,236.00",FIRE DETECTORS,02/04/2015,"1,236.00",Operations Non Fire Stations,Health & Safety
