 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid
902288,BANK OF SCOTLAND,593.485.01.10800/0613,1,"229,381.86",VEHICLES,03/06/13,"229,381.86"
902290,AMICALE DES POMPIERS DE NAMUR,AD5759,1,574.15,GENERAL,05/06/13,574.15
220513C,SUE HILL RECRUITMENT & SRV.LTD,00044841,1,"1,092.50",FRS STAFF AGENCY,06/06/13,"1,092.50"
140232,THAMES WATER UTILITIES LTD====,0310917269D,1,796.01,WATER & SEWERAGE RATES,06/06/13,796.01
140232,THAMES WATER UTILITIES LTD====,03247-35186E,1,271.95,WATER & SEWERAGE RATES,06/06/13,271.95
290513C,*PRINCIPAL CATERING CONSULTNTS,050700,1,139.20,REFRESHMENTS,06/06/13,931.75
290513C,*PRINCIPAL CATERING CONSULTNTS,050700,2,752.55,REFRESHMENTS,06/06/13,
290513C,*PRINCIPAL CATERING CONSULTNTS,050700,3,20.00,REFRESHMENTS,06/06/13,
290513C,*PRINCIPAL CATERING CONSULTNTS,050700,4,20.00,REFRESHMENTS,06/06/13,
300513C,AA WOODS,051627,1,"2,570.00",DEVELOPMENT  EXPENSES-CONTRACT,06/06/13,"2,570.00"
300513C,AA WOODS,052228,1,900.00,DEVELOPMENT  EXPENSES-CONTRACT,06/06/13,900.00
030613C,G WORRALL & SON LIMITED=======,099913,1,258.10,TACTICAL DAY TO DAY,06/06/13,258.10
290513C,HAYS ACCOUNTANCY & FINANCE====,1003205133,1,696.00,FRS STAFF AGENCY,06/06/13,696.00
310513E,IPMACT EPOS LTD,10040,1,725.00,OFFICE EQUIPMENT,06/06/13,725.00
310513E,IPMACT EPOS LTD,10053,1,945.00,OFFICE EQUIPMENT,06/06/13,"1,890.00"
310513E,IPMACT EPOS LTD,10053,2,945.00,OFFICE EQUIPMENT,06/06/13,
300513C,AFFINITY WATER,101021215,1,483.60,CURRENT HYDRANT COSTS,06/06/13,483.60
040613G,*SPRUE SAFETY PRODUCTS LTD====,1046460,1,884.80,FIRE DETECTORS,06/06/13,884.80
