 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
010519T,SLI.DO S. R. O.,19045748,1,750.00,SUBSCRIPTIONS,01/05/19,750.00,London Resilience Group,Financial Services
010519T,CGE RISK MANAGEMENT SOLUTIONS,INV-19-0241,1,"1,900.00",PROFESSIONAL DEVELOPMENT,01/05/19,"1,900.00",CPO Planning,Human Resources
250419T,GARRAN LOCKERS LTD,0000030634,1,329.06,OFFICE FURNITURE,02/05/19,329.06,Fire Stations (South West),Furniture & Soft Furnishings
240419T,HUNTERS CONTRACTS LIMITED,0000400201,1,"2,288.70",OFFICE FURNITURE,02/05/19,"2,288.70",Fire Stations (South East),Furniture & Soft Furnishings
150419K,LE MAITRE LTD,025687,1,625.00,PROTECTIVE EQUIPT - PARTS,02/05/19,625.00,Technical and Service Support,Emergency Services
250419T,HUNTER APPAREL SOLUTIONS LTD,069996,1,"1,660.00",GENERAL,02/05/19,"1,660.00",Fire Stations (Management),Consultancy
250419T,HUNTER APPAREL SOLUTIONS LTD,070042,1,406.08,UNIFORMS - POMS,02/05/19,406.08,Procurement,Clothing
250419T,HUNTER APPAREL SOLUTIONS LTD,070190,1,507.60,UNIFORMS - POMS,02/05/19,651.60,Procurement,Clothing
250419T,HUNTER APPAREL SOLUTIONS LTD,070190,2,144.00,UNIFORMS - POMS,02/05/19,,Procurement,Clothing
250419T,STANDAGE & CO LTD,071908,1,"34,312.86",DEVELOPMENT  EXPENSES-CONTRACT,02/05/19,"34,312.86",Technical and Service Support,"Works - Construction, R&M"
250419T,STANDAGE & CO LTD,071912,1,"1,037.48",DEVELOPMENT  EXPENSES-CONTRACT,02/05/19,"1,037.48",Technical and Service Support,"Works - Construction, R&M"
260419T,ACE VEHICLE SERVICES LIMITED,108,1,320.00,OPERATIONAL EQUIP-PURCHASE,02/05/19,320.00,Fire Stations (North West),Facilities & Management S
800130121,HAYS SPECIALIST RECRUITMENT,1084258,1,536.31,FRS STAFF AGENCY,02/05/19,536.31,Management Support,"Works - Construction, R&M"
800130099,HAYS SPECIALIST RECRUITMENT,1084260,1,509.04,FRS STAFF AGENCY,02/05/19,509.04,Technical and Service Support,Environmental Services
800130105,HAYS SPECIALIST RECRUITMENT,1084262,1,879.20,FRS STAFF AGENCY,02/05/19,879.20,Information and Communication Technology,Building Constr Materials
800130083,HAYS SPECIALIST RECRUITMENT,1084264,1,454.65,FRS STAFF AGENCY,02/05/19,454.65,People Services,"Works - Construction, R&M"
800130117,HAYS SPECIALIST RECRUITMENT,1084265,1,"1,184.75",FRS STAFF AGENCY,02/05/19,"1,184.75",CPO People Programme,"Works - Construction, R&M"
800130097,HAYS SPECIALIST RECRUITMENT,1084267,1,672.66,FRS STAFF AGENCY,02/05/19,672.66,Community Safety,Facilities & Management S
800130126,HAYS SPECIALIST RECRUITMENT,1084269,1,"1,592.30",FRS STAFF AGENCY,02/05/19,"1,592.30",Procurement,Fire & Rescue
800130113,HAYS SPECIALIST RECRUITMENT,1084270,1,"1,077.30",FRS STAFF AGENCY,02/05/19,"1,077.30",Operational Policy,Fire & Rescue
