 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid
250112C,LPFA CONTRIBUTIONS ACCOUNT====,VAB76,1,"1,740.00",PROFESSIONAL SERVICES,01/02/2012,"1,740.00"
139507,OGILVIE FLEET LTD=============,175167,1,"1,323.02",LEASE CAR CHARGES,02/02/2012,"6,456.36"
139507,OGILVIE FLEET LTD=============,175167,2,"5,133.34",P/PAYMTS-CAR LEASG-RENTAL,02/02/2012,
139507,OGILVIE FLEET LTD=============,175167,3,-592.32,VAT CAR LEASING,02/02/2012,
139507,OGILVIE FLEET LTD=============,175167,4,592.32,LEASE CAR CHARGES,02/02/2012,
300112C,*SPRUE SAFETY PRODUCTS LTD====,1026552,1,758.4,FIRE DETECTORS,02/02/2012,758.4
300112C,*SPRUE SAFETY PRODUCTS LTD====,1026769,1,"2,275.20",FIRE DETECTORS,02/02/2012,"2,275.20"
139510,MISS NATASHA JOFFE============,104009A,1,"14,000.00",COUNSELS FEES,02/02/2012,"14,000.00"
139510,MR MICHAEL UBEROI=============,106451,1,950,COUNSELS FEES,02/02/2012,950
139510,MISS NATASHA JOFFE============,107917,1,"1,000.00",COUNSELS FEES,02/02/2012,"1,000.00"
270112A,ATKINS LIMITED================,11038007,1,"2,049.88",MAINTENANCE & SUPPORT,02/02/2012,"2,049.88"
270112A,ATKINS LIMITED================,11038014,1,995,STAFF COSTS - IT DEPARTMENT,02/02/2012,"4,440.00"
270112A,ATKINS LIMITED================,11038014,2,"3,445.00",STAFF COSTS - IT DEPARTMENT,02/02/2012,
270112A,INFOR GLOBAL SOLUTIONS LTD====,11106467,1,"2,140.05",MAINTENANCE & SUPPORT,02/02/2012,"5,375.80"
270112A,INFOR GLOBAL SOLUTIONS LTD====,11106467,2,"3,209.95",MAINTENANCE & SUPPORT,02/02/2012,
270112A,INFOR GLOBAL SOLUTIONS LTD====,11106467,3,25.8,MAINTENANCE & SUPPORT,02/02/2012,
200112G,BUREAU VERITAS HS&E LTD=======,12000747,1,"89,047.20",SCIENTIFIC SERVICES,02/02/2012,"89,047.20"
230112C,HAGEMEYER UK LTD==============,124956097,1,"1,460.80",FIRE DETECTORS,02/02/2012,"3,124.15"
230112C,HAGEMEYER UK LTD==============,124956097,2,"1,663.35",FIRE DETECTORS,02/02/2012,
300112C,PSYCHOLOGICAL CONSULTANCY LTD,14640,1,"4,050.00",TRAINING & CONFERENCES,02/02/2012,"4,050.00"
240112A,THE STATIONERY OFFICE LTD=====,15260259,1,"2,160.00",STATIONERY CONSUMABLES,02/02/2012,"2,234.92"
240112A,THE STATIONERY OFFICE LTD=====,15260259,2,74.92,STATIONERY CONSUMABLES,02/02/2012,
270112A,PLASTOR=======================,16253,1,"1,278.00",PURCHASE,02/02/2012,"1,358.00"
270112A,PLASTOR=======================,16253,2,80,PURCHASE,02/02/2012,
