 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid
902416,FINSTERWALDER GMBH/CHARLY,151165,1,559.16,OPERATIONAL EQUIP-PURCHASE,02/06/2014,559.16
902415,AMICALE DES POMPIERS DE NAMUR,AD5813,1,656.01,GENERAL,02/06/2014,656.01
902415,COLLECT SERVICE LIMITED,NJ52008063,1,344.04,PARKING CHARGES,02/06/2014,344.04
280514E,SUPPLY PLUS LIMITED,17105,1,735,POSTAL SERVICES,05/06/2014,735
020614C,WOLF SAFETY LAMP CO LTD=======,23508,1,"3,750.00",GENERAL CONSUMABLES,05/06/2014,"3,750.00"
300514E,ENTEL UK LTD==================,137167,1,595,RADIO,05/06/2014,604
300514E,ENTEL UK LTD==================,137167,2,9,RADIO,05/06/2014,
300514E,AFFINITY WATER,101029017,1,368,CURRENT HYDRANT COSTS,05/06/2014,368
290514C,AFFINITY WATER,101030860,1,398,CURRENT HYDRANT COSTS,05/06/2014,398
290514C,AFFINITY WATER,101036092,1,741,CURRENT HYDRANT COSTS,05/06/2014,741
020614C,APTCO,101890,1,360,OPERATIONAL EQUIP-PURCHASE,05/06/2014,360
800038469,*JAMES HUNTER (OUTFITTERS) LTD,107628,1,231.56,CLOTHING,05/06/2014,293.35
800038469,*JAMES HUNTER (OUTFITTERS) LTD,107628,2,61.79,CLOTHING,05/06/2014,
800038486,*JAMES HUNTER (OUTFITTERS) LTD,107645,1,282.83,CLOTHING,05/06/2014,282.83
800038488,*JAMES HUNTER (OUTFITTERS) LTD,107647,1,282.83,CLOTHING,05/06/2014,282.83
300514E,TECHNICLEAN SUPPLY LTD,112201,1,"1,014.00",GENERAL CONSUMABLES,05/06/2014,"1,014.00"
280514C,BT GLOBAL SERVICES============,1130316,1,541.66,TELECOMMUNICATIONS,05/06/2014,541.66
020614C,DIAMOND BUILD PLC=============,13634,1,811.84,DEVELOPMENT  EXPENSES-CONTRACT,05/06/2014,811.84
020614C,RESPIREX======================,146529,1,930,PROFESSIONAL DEVELOPMENT,05/06/2014,930
020614C,RESPIREX======================,146571,1,134.05,REPAIR & MAINTENANCE,05/06/2014,975.97
020614C,RESPIREX======================,146571,2,159.05,REPAIR & MAINTENANCE,05/06/2014,
020614C,RESPIREX======================,146571,3,143.05,REPAIR & MAINTENANCE,05/06/2014,
020614C,RESPIREX======================,146571,4,169.05,REPAIR & MAINTENANCE,05/06/2014,
020614C,RESPIREX======================,146571,5,161.05,REPAIR & MAINTENANCE,05/06/2014,
020614C,RESPIREX======================,146571,6,179.05,REPAIR & MAINTENANCE,05/06/2014,
020614C,RESPIREX======================,146571,7,30.67,REPAIR & MAINTENANCE,05/06/2014,
190514G,DOTTED EYES LTD===============,17207,1,440,CONSULTANTS,05/06/2014,440
020614C,COMMUNITIES & LOCAL GOVERNMENT,1800020049,1,"123,093.56",MAINTENANCE & SUPPORT,05/06/2014,"134,925.53"
020614C,COMMUNITIES & LOCAL GOVERNMENT,1800020049,2,"8,024.10",MAINTENANCE & SUPPORT,05/06/2014,
020614C,COMMUNITIES & LOCAL GOVERNMENT,1800020049,3,"3,807.87",MAINTENANCE & SUPPORT,05/06/2014,
140696,AFFINITY WATER,2075273-&C,1,798.91,WATER & SEWERAGE RATES,05/06/2014,798.91
290514C,FIRE SERVICES YOUTH TRAIN.ASS.,2421,1,755.5,GENERAL,05/06/2014,755.5
280514C,BRISTOL UNIFORMS LTD==========,257012,1,"197,575.56",CLOTHING,05/06/2014,"197,575.56"
280514C,BRISTOL UNIFORMS LTD==========,257038,1,748.42,CLOTHING,05/06/2014,748.42
280514C,BRISTOL UNIFORMS LTD==========,260164,1,748.42,CLOTHING,05/06/2014,748.42
280514C,BRISTOL UNIFORMS LTD==========,260165,1,"3,933.39",CLOTHING,05/06/2014,"3,933.39"
290514C,SUNDERLAND CITY COUNCIL,2808006278,1,"4,538.87",FIRE AUTHORITIES,05/06/2014,"4,538.87"
800038287,*BANNER BUSINESS SUPPLIES LTD=,28190875,1,36.8,STATIONERY CONSUMABLES,05/06/2014,588.8
800038287,*BANNER BUSINESS SUPPLIES LTD=,28190875,2,36.8,STATIONERY CONSUMABLES,05/06/2014,
800038287,*BANNER BUSINESS SUPPLIES LTD=,28190875,3,36.8,STATIONERY CONSUMABLES,05/06/2014,
800038287,*BANNER BUSINESS SUPPLIES LTD=,28190875,4,36.8,STATIONERY CONSUMABLES,05/06/2014,
800038287,*BANNER BUSINESS SUPPLIES LTD=,28190875,5,36.8,STATIONERY CONSUMABLES,05/06/2014,
800038287,*BANNER BUSINESS SUPPLIES LTD=,28190875,6,36.8,STATIONERY CONSUMABLES,05/06/2014,
800038287,*BANNER BUSINESS SUPPLIES LTD=,28190875,7,36.8,STATIONERY CONSUMABLES,05/06/2014,
800038287,*BANNER BUSINESS SUPPLIES LTD=,28190875,8,36.8,STATIONERY CONSUMABLES,05/06/2014,
800038287,*BANNER BUSINESS SUPPLIES LTD=,28190875,9,36.8,STATIONERY CONSUMABLES,05/06/2014,
800038287,*BANNER BUSINESS SUPPLIES LTD=,28190875,10,36.8,STATIONERY CONSUMABLES,05/06/2014,
800038287,*BANNER BUSINESS SUPPLIES LTD=,28190875,11,36.8,STATIONERY CONSUMABLES,05/06/2014,
800038287,*BANNER BUSINESS SUPPLIES LTD=,28190875,12,36.8,STATIONERY CONSUMABLES,05/06/2014,
800038287,*BANNER BUSINESS SUPPLIES LTD=,28190875,13,36.8,STATIONERY CONSUMABLES,05/06/2014,
800038287,*BANNER BUSINESS SUPPLIES LTD=,28190875,14,36.8,STATIONERY CONSUMABLES,05/06/2014,
800038287,*BANNER BUSINESS SUPPLIES LTD=,28190875,15,36.8,STATIONERY CONSUMABLES,05/06/2014,
800038287,*BANNER BUSINESS SUPPLIES LTD=,28190875,16,36.8,STATIONERY CONSUMABLES,05/06/2014,
020614C,EUROLOOS LTD,28985,1,650,OPERATIONAL EQUIP-PURCHASE,05/06/2014,650
020614C,EUROLOOS LTD,28986,1,"1,495.00",OPERATIONAL EQUIP-PURCHASE,05/06/2014,"1,495.00"
020614C,EUROLOOS LTD,28987,1,"1,495.00",OPERATIONAL EQUIP-PURCHASE,05/06/2014,"1,495.00"
020614C,EUROLOOS LTD,28989,1,650,OPERATIONAL EQUIP-PURCHASE,05/06/2014,650
020614C,CIPFA BUSINESS,3098724,1,"3,100.00",BOOKS & JOURNALS,05/06/2014,"3,100.00"
280514C,EVOLUTION ENVIRONMENTAL LTD,3100,1,260,ASBESTOS,05/06/2014,260
280514C,EVOLUTION ENVIRONMENTAL LTD,3137,1,280,ASBESTOS,05/06/2014,465
280514C,EVOLUTION ENVIRONMENTAL LTD,3137,2,185,ASBESTOS,05/06/2014,
280514C,EVOLUTION ENVIRONMENTAL LTD,3138,1,185,ASBESTOS,05/06/2014,735
280514C,EVOLUTION ENVIRONMENTAL LTD,3138,2,365,ASBESTOS,05/06/2014,
280514C,EVOLUTION ENVIRONMENTAL LTD,3138,3,185,ASBESTOS,05/06/2014,
300514E,HANDS FREE COMPUTING LTD======,31875,1,345,ACQUISITIONS,05/06/2014,345
280514C,CK DIRECT,3520,1,"11,150.00",STRATEGIC (NON CYCLICAL),05/06/2014,"11,150.00"
280514C,CK DIRECT,3521,1,"11,045.00",STRATEGIC (NON CYCLICAL),05/06/2014,"11,045.00"
280514C,CK DIRECT,3522,1,"8,620.00",STRATEGIC (NON CYCLICAL),05/06/2014,"8,620.00"
280514C,CK DIRECT,3523,1,"12,035.00",STRATEGIC (NON CYCLICAL),05/06/2014,"12,035.00"
160514F,W.GILCHRIST & CO,3526,1,640,HYGIENE,05/06/2014,665
160514F,W.GILCHRIST & CO,3526,2,25,HYGIENE,05/06/2014,
270514C,PCS CONSULTING SERVICES LTD===,3660,1,776,PURCHASES-COMPUTER/EQUIPMENT,05/06/2014,776
140696,THAMES WATER UTILITIES LTD====,37729-99268E,1,456.31,WATER & SEWERAGE RATES,05/06/2014,456.31
020614C,EMPLOYMENT LAW SERVICES,4016,1,287,PROFESSIONAL DEVELOPMENT,05/06/2014,287
140696,THAMES WATER UTILITIES LTD====,41335-78144E,1,276.94,WATER & SEWERAGE RATES,05/06/2014,276.94
200514F,MITIE SECURITY (LONDON) LTD===,45/555401,1,"3,780.00",PREMISES SECURITY,05/06/2014,"3,780.00"
200514F,MITIE SECURITY (LONDON) LTD===,45/555402,1,"7,560.00",PREMISES SECURITY,05/06/2014,"7,560.00"
