 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid
902360,ROYAL MAIL====================,AD5789,1,"1,950.00",POSTAL SERVICES,02/01/14,"1,950.00"
201213E,WOLF SAFETY LAMP CO LTD=======,0000021982,1,"3,750.00",GENERAL CONSUMABLES,07/01/14,"3,750.00"
231213C,ENTEL UK LTD==================,0000134236,2,92.26,RADIO,07/01/14,254.28
231213C,ENTEL UK LTD==================,0000134236,3,68.50,RADIO,07/01/14,
231213C,ENTEL UK LTD==================,0000134236,4,45.60,RADIO,07/01/14,
231213C,ENTEL UK LTD==================,0000134236,5,38.92,RADIO,07/01/14,
231213C,ENTEL UK LTD==================,0000134236,6,9.00,RADIO,07/01/14,
030114F,*OCS GROUP UK LTD,0000220790,1,"3,144.92",CATERING,07/01/14,"3,992.09"
030114F,*OCS GROUP UK LTD,0000220790,2,181.67,CATERING,07/01/14,
030114F,*OCS GROUP UK LTD,0000220790,3,665.50,CATERING,07/01/14,
030114F,*OCS GROUP UK LTD,0000220791,1,"3,144.92",CATERING,07/01/14,"3,992.09"
030114F,*OCS GROUP UK LTD,0000220791,2,181.67,CATERING,07/01/14,
030114F,*OCS GROUP UK LTD,0000220791,3,665.50,CATERING,07/01/14,
020114G,BT GLOBAL SERVICES============,0790106941,1,500.00,TELECOMMUNICATIONS,07/01/14,500.00
020114G,EFFECTUAL STORAGE LTD=========,1000165,1,"1,327.65",OPERATIONAL EQUIP-PURCHASE,07/01/14,"1,327.65"
201213E,HAYS ACCOUNTANCY & FINANCE====,1003845127,1,696.00,FRS STAFF AGENCY,07/01/14,696.00
020114G,BT GLOBAL SERVICES============,1128459,1,541.66,TELECOMMUNICATIONS,07/01/14,541.66
030114F,CEDAFORCE LTD=================,11667,1,"4,692.00",CATERING FIXTURES,07/01/14,"4,692.00"
140506,BOURNE CONSTRUCTION COMPANY,13/488,1,"1,460.00",STRATEGIC (NON CYCLICAL),07/01/14,"1,900.00"
140506,BOURNE CONSTRUCTION COMPANY,13/488,2,440.00,STRATEGIC (NON CYCLICAL),07/01/14,
140506,BOURNE CONSTRUCTION COMPANY,13/489,1,450.00,STRATEGIC (NON CYCLICAL),07/01/14,650.00
140506,BOURNE CONSTRUCTION COMPANY,13/489,2,200.00,STRATEGIC (NON CYCLICAL),07/01/14,
201213E,URS SCOTT WILSON LIMITED,130076,1,900.00,PROF FEES-MISCELLANEOUS,07/01/14,900.00
191213G,BUREAU VERITAS HS&E LTD=======,13022253,1,"95,626.48",SCIENTIFIC SERVICES,07/01/14,"95,626.48"
020114C,SURREY BLIND & CURTAIN CO=====,14029,1,252.00,FIXTURES & FITTINGS,07/01/14,252.00
191213C,H FINE & SON LTD==============,145590,1,490.00,GENERAL CONSUMABLES,07/01/14,490.00
