 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
120917G,COTSWOLD OUTDOOR LTD,2017062435291,2,94.24,OPERATIONAL EQUIP-PURCHASE,25/09/17,,Operational Resilience,Sports & Playground Equip
120917G,COTSWOLD OUTDOOR LTD,2017062435291,3,94.08,OPERATIONAL EQUIP-PURCHASE,25/09/17,,Operational Resilience,Sports & Playground Equip
141993,HEARTFELT ROOFING LIMITED,2101,1,"2,527.20",DEVELOPMENT  EXPENSES-CONTRACT,25/09/17,"4,212.00",Technical and Service Support,"Works - Construction, R&M"
141993,HEARTFELT ROOFING LIMITED,2101,2,"1,684.80",DEVELOPMENT  EXPENSES-CONTRACT,25/09/17,,Technical and Service Support,"Works - Construction, R&M"
190917F,VODAFONE LIMITED,247940,1,"1,015.00",MOBILE PLAN CHARGES,25/09/17,"1,298.45",Information and Communication Technology,ICT
190917F,VODAFONE LIMITED,247940,2,283.45,MOBILE PLAN CHARGES,25/09/17,,Information and Communication Technology,ICT
190917F,AECOM INFRASTRUCTURE &,28321474,1,"6,454.60",PROF FEES-MISCELLANEOUS,25/09/17,"6,454.60",Technical and Service Support,Consultancy
120917G,DRAEGER SAFETY UK LIMITED,2910098194,1,"1,330.00",PROTECTIVE EQUIPT - PARTS,25/09/17,"1,330.00",Technical and Service Support,Fire & Rescue
080917K,DRAEGER SAFETY UK LIMITED,2910098294,1,108.66,OPERATIONAL EQUIP-PURCHASE,25/09/17,403.44,CBRN RRT,Fire & Rescue
080917K,DRAEGER SAFETY UK LIMITED,2910098294,2,93.06,OPERATIONAL EQUIP-PURCHASE,25/09/17,,CBRN RRT,Fire & Rescue
080917K,DRAEGER SAFETY UK LIMITED,2910098294,3,108.66,OPERATIONAL EQUIP-PURCHASE,25/09/17,,CBRN RRT,Fire & Rescue
080917K,DRAEGER SAFETY UK LIMITED,2910098294,4,93.06,OPERATIONAL EQUIP-PURCHASE,25/09/17,,CBRN RRT,Fire & Rescue
130917G,DRAEGER SAFETY UK LIMITED,2910098337,1,420.00,PROTECTIVE EQUIPT - PARTS,25/09/17,420.00,Technical and Service Support,Fire & Rescue
120917G,DRAEGER SAFETY UK LIMITED,2910098338,1,173.04,PROTECTIVE EQUIPT - PARTS,25/09/17,"1,092.29",Technical and Service Support,Fire & Rescue
120917G,DRAEGER SAFETY UK LIMITED,2910098338,2,919.25,PROTECTIVE EQUIPT - PARTS,25/09/17,,Technical and Service Support,Fire & Rescue
800104623,ARKAS LIMITED,31736,1,264.63,REACTIVE APPLIANCE BAY DOORS,25/09/17,264.63,Technical and Service Support,"Works - Construction, R&M"
800104624,ARKAS LIMITED,31737,1,705.25,REACTIVE APPLIANCE BAY DOORS,25/09/17,705.25,Technical and Service Support,"Works - Construction, R&M"
800104645,ARKAS LIMITED,31738,1,"1,201.90",REACTIVE APPLIANCE BAY DOORS,25/09/17,"1,201.90",Technical and Service Support,"Works - Construction, R&M"
800104636,ARKAS LIMITED,31739,1,977.10,REACTIVE APPLIANCE BAY DOORS,25/09/17,977.10,Technical and Service Support,"Works - Construction, R&M"
800104637,ARKAS LIMITED,31753,1,255.31,REACTIVE APPLIANCE BAY DOORS,25/09/17,255.31,Technical and Service Support,"Works - Construction, R&M"
800104626,ARKAS LIMITED,31757,1,285.35,REACTIVE APPLIANCE BAY DOORS,25/09/17,285.35,Technical and Service Support,"Works - Construction, R&M"
800104629,ARKAS LIMITED,31761,1,599.13,REACTIVE APPLIANCE BAY DOORS,25/09/17,599.13,Technical and Service Support,"Works - Construction, R&M"
800104640,ARKAS LIMITED,31762,1,385.45,REACTIVE APPLIANCE BAY DOORS,25/09/17,385.45,Technical and Service Support,"Works - Construction, R&M"
800104647,ARKAS LIMITED,31763,1,466.50,REACTIVE APPLIANCE BAY DOORS,25/09/17,466.50,Technical and Service Support,"Works - Construction, R&M"
800104648,ARKAS LIMITED,31764,1,652.50,REACTIVE APPLIANCE BAY DOORS,25/09/17,652.50,Technical and Service Support,"Works - Construction, R&M"
800104641,ARKAS LIMITED,31765,1,"1,467.90",REACTIVE APPLIANCE BAY DOORS,25/09/17,"1,467.90",Technical and Service Support,"Works - Construction, R&M"
800104630,ARKAS LIMITED,31766,1,"1,542.00",REACTIVE APPLIANCE BAY DOORS,25/09/17,"1,542.00",Technical and Service Support,"Works - Construction, R&M"
800104631,ARKAS LIMITED,31768,1,251.50,REACTIVE APPLIANCE BAY DOORS,25/09/17,251.50,Technical and Service Support,"Works - Construction, R&M"
800104632,ARKAS LIMITED,31769,1,627.10,REACTIVE APPLIANCE BAY DOORS,25/09/17,627.10,Technical and Service Support,"Works - Construction, R&M"
200917F,HUNTERS CONTRACTS LIMITED,359357,1,275.27,OFFICE FURNITURE,25/09/17,275.27,Fire Stations (North East),Furniture
200917F,COMPUTACENTRE,3780060578,1,350.00,MAINTENANCE & SUPPORT,25/09/17,350.00,Information and Communication Technology,ICT
190917F,H V SIER LTD==================,4/I10998,1,294.24,STATIONERY CONSUMABLES,25/09/17,294.24,Communications,Stationery
190917F,CAMBRIDGE & PETERBOROUGH,4906,1,"14,193.76",FIRE AUTHS-MUTUAL ASSISTANCE,25/09/17,"14,193.76",National Operational Guidance Project,Statutory Bodies
141994,CASTLE WATER LIMITED,562598,1,407.70,WATER & SEWERAGE RATES,25/09/17,407.70,Technical and Service Support,Utilities
701747,REDFERN TRAVEL LTD,572052**,1,"1,585.00",TRAVEL BOOKINGS,25/09/17,"1,585.00",National Operational Guidance Project,Human Resources
140917F,UNIFY,6000888678,1,"6,500.00",MAINTENANCE & SUPPORT,25/09/17,"6,597.50",Information and Communication Technology,ICT
140917F,UNIFY,6000888678,2,97.50,ADDITIONAL PURCHASE COSTS,25/09/17,,Information and Communication Technology,ICT
080917K,CAPITA SECURE INFO SOLUTIONS,6060025756,1,"122,300.33",CAMS CONTRACT,25/09/17,"122,300.33",Information and Communication Technology,ICT
190917F,MOORE STEPHENS CONSULTING LTD,675076,1,"10,000.00",MAINTENANCE & SUPPORT,25/09/17,"10,000.00",Information and Communication Technology,ICT
190917F,PLASTOR=======================,69094,1,462.00,PURCHASE,25/09/17,462.00,Technical and Service Support,Fire & Rescue
190917F,CURRIE & BROWN UK LIMITED,7020348,1,450.00,REACTIVE SMALL WORKS AND PROJ,25/09/17,450.00,Technical and Service Support,"Works - Construction, R&M"
130917G,NORTHAMPTONSHIRE COUNTY,7135583,1,"23,487.88",GENERAL,25/09/17,"46,974.88",Operational Resilience,Statutory Bodies
130917G,NORTHAMPTONSHIRE COUNTY,7135583,2,"23,487.00",GENERAL,25/09/17,,Operational Resilience,Statutory Bodies
