 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
270116C,VCG KESTREL LIMITED===========,0000002808,1,275.00,PRINTING,01/02/16,275.00,Communications,Facilities & Management S
270116C,VCG KESTREL LIMITED===========,0000002809,1,945.00,PRINTING,01/02/16,945.00,Communications,Facilities & Management S
260116G,MOOLANDS LTD,00000544,1,"8,624.00",STRATEGIC (NON CYCLICAL),01/02/16,"8,624.00",Technical and Service Support,"Works - Construction, R&M"
200116G,HEALTH MANAGEMENT LIMITED=====,0000142163,1,250.00,THIRD PARTY REPORTS,01/02/16,"2,275.80",HR Management,Healthcare
200116G,HEALTH MANAGEMENT LIMITED=====,0000142163,2,301.50,THIRD PARTY REPORTS,01/02/16,,HR Management,Healthcare
200116G,HEALTH MANAGEMENT LIMITED=====,0000142163,3,301.50,THIRD PARTY REPORTS,01/02/16,,HR Management,Healthcare
200116G,HEALTH MANAGEMENT LIMITED=====,0000142163,4,"1,422.80",THIRD PARTY REPORTS,01/02/16,,HR Management,Healthcare
140116G,HEALTH MANAGEMENT LIMITED=====,0000142199,1,557.35,OHS CONTRACT,01/02/16,557.35,HR Management,Healthcare
140116G,HEALTH MANAGEMENT LIMITED=====,0000142201,1,491.22,OHS CONTRACT,01/02/16,491.22,HR Management,Healthcare
270116C,SYNERGY HEALTH LAB SERVICE LTD,0000150594,1,130.00,DRUG & ALCOHOL TESTS,01/02/16,265.00,HR Management,Healthcare
270116C,SYNERGY HEALTH LAB SERVICE LTD,0000150594,2,135.00,DRUG & ALCOHOL TESTS,01/02/16,,HR Management,Healthcare
270116C,HAYS SPECIALIST RECRUITMENT,1006159898,1,801.85,FRS STAFF AGENCY,01/02/16,801.85,Procurement,Human Resources
270116C,HAYS SPECIALIST RECRUITMENT,1006160328,1,801.85,FRS STAFF AGENCY,01/02/16,801.85,Procurement,Human Resources
260116G,*SPRUE SAFETY PRODUCTS LTD====,1086358,1,494.40,FIRE DETECTORS,01/02/16,494.40,Operations Non Fire Stations,Health & Safety
220116G,*SPRUE SAFETY PRODUCTS LTD====,1087180,1,880.00,FIRE DETECTORS,01/02/16,880.00,Operations Non Fire Stations,Health & Safety
270116C,GEORGE JONES & SON LTD========,1092,1,"9,639.84",STRATEGIC (NON CYCLICAL),01/02/16,"9,639.84",Technical and Service Support,"Works - Construction, R&M"
270116C,BT GLOBAL SERVICES============,1135008,1,541.66,TELECOMMUNICATIONS,01/02/16,541.66,Information and Communication Technology,ICT
220116G,INSTITUTION OF FIRE ENGINEERS,12654,1,639.43,BOOKS & JOURNALS,01/02/16,639.43,Information Management,Education
260116G,PRICEWATERHOUSECOOPERS LLP====,1354470505,1,"7,499.98",CONSULTANTS,01/02/16,"7,499.98",Finance Services,Consultancy
270116C,DIAMOND BUILD PLC=============,14198,1,"19,159.14",DEVELOPMENT  EXPENSES-CONTRACT,01/02/16,"23,948.93",Technical and Service Support,"Works - Construction, R&M"
270116C,DIAMOND BUILD PLC=============,14198,2,"4,789.79",STRATEGIC (NON CYCLICAL),01/02/16,,Technical and Service Support,"Works - Construction, R&M"
260116G,DIAMOND BUILD PLC=============,14216,1,"43,703.55",DEVELOPMENT  EXPENSES-CONTRACT,01/02/16,"54,629.43",Technical and Service Support,"Works - Construction, R&M"
260116G,DIAMOND BUILD PLC=============,14216,2,"10,925.88",STRATEGIC (NON CYCLICAL),01/02/16,,Technical and Service Support,"Works - Construction, R&M"
270116C,SURREY BLIND & CURTAIN CO=====,14938,1,192.00,FIXTURES & FITTINGS,01/02/16,"3,521.00",Technical And Service Support,"Works - Construction, R&M"
270116C,SURREY BLIND & CURTAIN CO=====,14938,2,537.00,FIXTURES & FITTINGS,01/02/16,,Technical And Service Support,"Works - Construction, R&M"
270116C,SURREY BLIND & CURTAIN CO=====,14938,3,192.00,FIXTURES & FITTINGS,01/02/16,,Technical And Service Support,"Works - Construction, R&M"
270116C,SURREY BLIND & CURTAIN CO=====,14938,4,118.00,FIXTURES & FITTINGS,01/02/16,,Technical And Service Support,"Works - Construction, R&M"
270116C,SURREY BLIND & CURTAIN CO=====,14938,5,755.00,FIXTURES & FITTINGS,01/02/16,,Technical And Service Support,"Works - Construction, R&M"
270116C,SURREY BLIND & CURTAIN CO=====,14938,6,499.00,FIXTURES & FITTINGS,01/02/16,,Technical And Service Support,"Works - Construction, R&M"
270116C,SURREY BLIND & CURTAIN CO=====,14938,7,299.00,FIXTURES & FITTINGS,01/02/16,,Technical And Service Support,"Works - Construction, R&M"
270116C,SURREY BLIND & CURTAIN CO=====,14938,8,699.00,FIXTURES & FITTINGS,01/02/16,,Technical And Service Support,"Works - Construction, R&M"
270116C,SURREY BLIND & CURTAIN CO=====,14938,9,38.00,FIXTURES & FITTINGS,01/02/16,,Technical And Service Support,"Works - Construction, R&M"
270116C,SURREY BLIND & CURTAIN CO=====,14938,10,192.00,FIXTURES & FITTINGS,01/02/16,,Technical And Service Support,"Works - Construction, R&M"
141333,QBE INSURANCE (EUROPE) LTD====,15/16 (2),1,"400,000.00",INSURANCE CLAIMS,01/02/16,"400,000.00",Procurement,Vehicle Management
260116G,RESPIREX======================,154114,1,162.98,REPAIR & MAINTENANCE,01/02/16,610.28,Technical And Service Support,Clothing
260116G,RESPIREX======================,154114,2,155.98,REPAIR & MAINTENANCE,01/02/16,,Technical And Service Support,Clothing
260116G,RESPIREX======================,154114,3,66.67,REPAIR & MAINTENANCE,01/02/16,,Technical And Service Support,Clothing
260116G,RESPIREX======================,154114,4,57.67,REPAIR & MAINTENANCE,01/02/16,,Technical And Service Support,Clothing
260116G,RESPIREX======================,154114,5,166.98,REPAIR & MAINTENANCE,01/02/16,,Technical And Service Support,Clothing
800074913,REDFERN TRAVEL LTD,1665755,1,743.02,OVERSEAS TRAVEL,01/02/16,743.02,Operational Resilience,Human Resources
800074903,REDFERN TRAVEL LTD,1666722,1,258.45,TRAVEL BOOKINGS,01/02/16,258.45,Fire Safety Regulation,Human Resources
800074901,REDFERN TRAVEL LTD,1666769,1,273.55,TRAVEL BOOKINGS,01/02/16,273.55,Fire Safety Regulation,Human Resources
