Identifier,Title,Description ,Currency,Amount awarded,Award Date,Planned Dates:Start Date,Planned Dates:End Date,Recipient Org:Name,Recipient Org:Identifier,Recipient Org:Charity Number,Recipient Org:Company Number,Funding Org:Identifier,Funding Org:Name,Funding Org:Department,Grant Programme:Title,Last Modified,Data Source,Approved by
360G-GLA-G2pAjFLlHO239h3,Grant to Achievement for All Limited,Achivement for All London Primary Programme,GBP,350000,2015-03-31,2015-03-31,2015-09-30,Achievement for All Limited,GB-CHC-1142154,1142154,,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1331
360G-GLA-G7m4IQJmGWiUTFU,Grant to LB Newham,To reopen Grade II listed library in Manor Park,GBP,177534,2015-04-01,2015-04-01,2016-03-31,LB Newham,GB-LAE-NWM,,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1469
360G-GLA-G63EeA1gbDBThcU,Grant to LB Lambeth,To support Brixton Central High Street Programme,GBP,869000,2015-04-01,2015-04-01,2016-04-01,LB Lambeth,GB-LAE-LBH,,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1469
360G-GLA-Goi9Mz2MkhM04Mt,Grant to LB Havering,In relation to Romford High Street Fund Project,GBP,200000,2015-04-01,2015-04-01,2016-04-01,LB Havering,GB-LAE-HAV,,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1469
360G-GLA-G76GH8OVmMYzJ6d,Grant to LB Richmond,To deliver art exhibition in Twickenham featuring local artists,GBP,18000,2015-04-03,2015-04-03,2016-03-31,LB Richmond,GB-LAE-RIC,,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1469
360G-GLA-GJ3QRCIMI0iLCKQ,Grant to Vi-ability,"Volunteering Programme to secure employment, education or training",GBP,40000,2015-04-08,2015-04-30,2016-04-30,Vi-ability,GB-COH-07096769,,07096769,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1333
360G-GLA-GLX9G22XBRxKOMl,Grant to Cospa,"Volunteering Programme to secure employment, education or training",GBP,10000,2015-04-08,2015-04-30,2016-04-30,Cospa,GB-COH-07341883,,07341883,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,Approved by DAR (not published)
360G-GLA-GTSNiLNLSb0XmO3,Grant to City Gateway,"Volunteering Programme to secure employment, education or training",GBP,45000,2015-04-08,2015-04-30,2016-04-30,City Gateway,GB-CHC-1078360,1078360,03760619,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1333
360G-GLA-GYCzxb3qQdeLejh,Grant to Business Education London South,"To support 18-24 NEET into sustained Education, Employment or Training",GBP,15000,2015-04-08,2015-04-30,2016-04-30,Business Education London South,GB-CHC-1104073,1104073,04182942,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1333
360G-GLA-Gx3dtS8Eoo1p2F8,Grant to LB Hackney,Enable creation of walking and cycle route between wetlands in Waltham Forest and Hackney,GBP,285000,2015-04-23,2015-04-22,2016-03-31,LB Hackney,GB-LAE-HCK,,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1429
360G-GLA-GCJPBNnFA3MQb4E,Grant to Waterloo Quarter Business Improvement District,To support businesses on Lower Marsh and The Cut,GBP,20000,2015-04-30,2015-04-01,2016-04-01,Waterloo Quarter Business Improvement District,GB-COH-04381162,,04381162,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1245
360G-GLA-Gvus268AOuVzbMP,Grant to Groundwork London,To deliver the Community Strand of the Pocket Parks Programme ,GBP,35000,2015-04-30,2015-04-30,2015-06-19,Groundwork London,GB-CHC-1121105,1121105,04212532,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1063
360G-GLA-GCZrQQ4Ibr8a0J4,Grant to Do it trust,Speed volunteering maintenance,GBP,12786,2015-04-30,2016-06-30,2016-06-30,Do it trust,GB-CHC-1117891,1117891,,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,Speed Volunteering project,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1526
360G-GLA-GMGM7hevNiAdrUv,Grant to LB Greenwich,In relation to Thamesmead Thames Path Transformation,GBP,122500,2015-05-01,2015-05-01,2016-03-31,LB Greenwich,GB-LAE-GRE,,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1429
360G-GLA-GMgDllGcgAhpMAI,Grant to Rethinking Cities Ltd,"To deliver ""Stalking London's Trees, London Tree Week 2015",GBP,1750,2015-05-12,2015-05-15,2015-05-31,Rethinking Cities Ltd,GB-COH-05801458,,05801458,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,Approved by DAR (not published)
360G-GLA-GoCTnyivgt4T1Xw,Grant to LB Harrow,In relation to Stanmore Marsh Big Green Fund Project,GBP,175000,2015-05-12,2015-05-12,2016-03-31,LB Harrow,GB-LAE-HRW,,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1429
360G-GLA-Gvi14TO1GpsYf5j,Grant to LB Greenwich,Thamesmead Thames Path Transformation,GBP,122500,2015-05-12,2015-05-12,2016-03-31,LB Greenwich,GB-LAE-GRE,,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,
360G-GLA-G9Eyo4HJaVLI7dP,Grant to Sustain - The Alliance for better food and farming,Delivery of Capital Growth programme of food growing spaces in London,GBP,34000,2015-05-13,2015-05-14,2016-03-25,Sustain - The Alliance for better food and farming,GB-CHC-1018643,1018643,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1489
360G-GLA-G5IcUYdriACN3sx,Grant to Great Britain Wheelchair Rugby Limited,In relation to World Wheelchair Rugby Challenge 2015,GBP,40000,2015-05-13,2015-05-13,2016-03-31,Great Britain Wheelchair Rugby Limited,GB-CHC-1130038,1130038,06108379,GB-LAE-GLA,Greater London Authority,Communities and Intelligence,,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,ADD311
360G-GLA-GrTdaD19m9s5cs1,Grant to LB Haringey,To offer 100 apprenticeships opportunities,GBP,75000,2015-05-14,2015-05-01,2017-03-31,LB Haringey,GB-LAE-HRY,,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,DD1334
360G-GLA-G4Nzy7taCyEbcU6,Grant to Camden Town Unlimited,To create a Business Improvement District in Euston,GBP,30000,2015-05-18,2015-04-28,2016-03-31,Camden Town Unlimited,GB-COH-05453570,,05453570,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1245
360G-GLA-Gf8sJo0uREiXlri,Grant to Poplar HARCA,"To improve economic activity at Chrisp Street Market, East End London",GBP,283000,2015-05-20,2015-04-13,2016-10-01,Poplar HARCA,GB-CHC-1064397,1064397,03249344,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1469
360G-GLA-GEZXVvqCKgdXHQj,Grant to Green Corridor,In relation to Duke's River Big Green Project,GBP,157500,2015-05-22,2015-05-22,2016-03-31,Green Corridor,GB-CHC-1092093,1092093,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1429
360G-GLA-GhIhIEfQ2TLR1B6,Grant to LB Croydon,Relating to access to Wandle Park Big Green project,GBP,58800,2015-05-27,2015-05-27,2016-03-31,LB Croydon,GB-LAE-CRY,,,GB-LAE-GLA,Greater London Authority,"Development, Enterprise & Environment",,2018-02-21T14:42:00Z,https://data.london.gov.uk/dataset/gla-grants-data,MD1429
