 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid
902319,MICROSOFT IRELAND OPS LTD=====,C10004BV5U,1,"8,280.00",CONSULTANTS,02/09/13,"8,280.00"
290813H,MOOLANDS LTD,00000104,1,380.00,STRATEGIC (NON CYCLICAL),05/09/13,380.00
290813C,MOOLANDS LTD,00000109,1,496.00,STRATEGIC (NON CYCLICAL),05/09/13,496.00
020913C,WOLF SAFETY LAMP CO LTD=======,0000020759,1,"2,500.00",GENERAL CONSUMABLES,05/09/13,"3,760.00"
020913C,WOLF SAFETY LAMP CO LTD=======,0000020759,2,"1,260.00",GENERAL CONSUMABLES,05/09/13,
270813H,APPLUS LLT,00179,1,"3,750.00",GENERAL,05/09/13,"3,750.00"
300813H,DRON & WRIGHT=================,016632,1,"7,481.31",PROFESSIONAL SERVICES,05/09/13,"60,080.08"
300813H,DRON & WRIGHT=================,016632,2,926.00,PROFESSIONAL SERVICES,05/09/13,
300813H,DRON & WRIGHT=================,016632,3,"3,803.00",PROFESSIONAL SERVICES,05/09/13,
300813H,DRON & WRIGHT=================,016632,4,904.20,PROFESSIONAL SERVICES,05/09/13,
300813H,DRON & WRIGHT=================,016632,5,611.50,PROFESSIONAL SERVICES,05/09/13,
300813H,DRON & WRIGHT=================,016632,6,"2,532.50",PROFESSIONAL SERVICES,05/09/13,
300813H,DRON & WRIGHT=================,016632,7,732.50,PROF FEES-MISCELLANEOUS,05/09/13,
300813H,DRON & WRIGHT=================,016632,8,746.00,PROFESSIONAL SERVICES,05/09/13,
300813H,DRON & WRIGHT=================,016632,9,"6,247.70",PROFESSIONAL SERVICES,05/09/13,
300813H,DRON & WRIGHT=================,016632,10,"2,920.00",PROFESSIONAL SERVICES,05/09/13,
300813H,DRON & WRIGHT=================,016632,11,"7,245.12",PROFESSIONAL SERVICES,05/09/13,
300813H,DRON & WRIGHT=================,016632,12,"20,688.65",PROFESSIONAL SERVICES,05/09/13,
300813H,DRON & WRIGHT=================,016632,13,"1,335.00",DISPOSAL COSTS-ESTATES AGENTS,05/09/13,
300813H,DRON & WRIGHT=================,016632,14,491.00,PROF FEES-MISCELLANEOUS,05/09/13,
300813H,DRON & WRIGHT=================,016632,15,210.00,PROF FEES-MISCELLANEOUS,05/09/13,
300813H,DRON & WRIGHT=================,016632,16,280.00,PROF FEES-MISCELLANEOUS,05/09/13,
300813H,DRON & WRIGHT=================,016632,17,71.00,PROF FEES-MISCELLANEOUS,05/09/13,
300813H,DRON & WRIGHT=================,016632,18,"1,972.60",PROF FEES-MISCELLANEOUS,05/09/13,
300813H,DRON & WRIGHT=================,016632,19,635.00,PROF FEES-MISCELLANEOUS,05/09/13,
300813H,DRON & WRIGHT=================,016632,20,247.00,PROF FEES-MISCELLANEOUS,05/09/13,
300813H,HAYS ACCOUNTANCY & FINANCE====,1003389508,1,696.00,FRS STAFF AGENCY,05/09/13,696.00
300813H,HAYS ACCOUNTANCY & FINANCE====,1003433317,1,696.00,FRS STAFF AGENCY,05/09/13,696.00
290813C,*APTCO========================,101711,1,300.00,OPERATIONAL EQUIP-PURCHASE,05/09/13,300.00
300813G,CPL PETROLEUM=================,1030033,1,"3,407.40",FUEL,05/09/13,"3,407.40"
300813G,CPL PETROLEUM=================,1039356,1,"2,275.60",FUEL,05/09/13,"2,275.60"
