 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid
140542,THE TRAINING CONSULTANTS LTD,002511314,1,350.00,PROFESSIONAL DEVELOPMENT,03/02/14,700.00
140542,THE TRAINING CONSULTANTS LTD,002511314,2,175.00,PROFESSIONAL DEVELOPMENT,03/02/14,
140542,THE TRAINING CONSULTANTS LTD,002511314,3,175.00,PROFESSIONAL DEVELOPMENT,03/02/14,
220114F,GEORGE JONES & SON LTD========,036752,1,"10,270.92",STRATEGIC (NON CYCLICAL),03/02/14,"10,270.92"
220114F,GEORGE JONES & SON LTD========,036753,1,"13,416.85",STRATEGIC (NON CYCLICAL),03/02/14,"13,416.85"
220114F,GEORGE JONES & SON LTD========,036754,1,"11,509.91",STRATEGIC (NON CYCLICAL),03/02/14,"11,509.91"
140542,THAMES WATER UTILITIES LTD====,0705420579C,1,554.40,WATER & SEWERAGE RATES,03/02/14,554.40
220114C,HAYS ACCOUNTANCY & FINANCE====,1003940961,1,696.00,FRS STAFF AGENCY,03/02/14,696.00
800028665,*JAMES HUNTER (OUTFITTERS) LTD,107432,1,312.89,CLOTHING,03/02/14,312.89
800028669,*JAMES HUNTER (OUTFITTERS) LTD,107436,1,56.75,CLOTHING,03/02/14,369.06
800028669,*JAMES HUNTER (OUTFITTERS) LTD,107436,2,239.44,CLOTHING,03/02/14,
800028669,*JAMES HUNTER (OUTFITTERS) LTD,107436,3,72.87,CLOTHING,03/02/14,
800028672,*JAMES HUNTER (OUTFITTERS) LTD,107439,1,350.66,CLOTHING,03/02/14,350.66
800028675,*JAMES HUNTER (OUTFITTERS) LTD,107442,1,293.13,CLOTHING,03/02/14,293.13
280114E,RIG EQUIPMENT LTD,1287,1,439.00,OPERATIONAL EQUIP-PURCHASE,03/02/14,439.00
300114F,ABARIS INTERNATIONAL LIMITED==,16335,1,711.70,OPERATIONAL EQUIP-PURCHASE,03/02/14,750.78
300114F,ABARIS INTERNATIONAL LIMITED==,16335,2,39.08,OPERATIONAL EQUIP-PURCHASE,03/02/14,
