 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid
261113D,WOLF SAFETY LAMP CO LTD=======,0000021691,1,"2,500.00",GENERAL CONSUMABLES,02/12/13,"2,500.00"
181113G,HEALTH MANAGEMENT LIMITED=====,0000105171,1,700.00,CONSULTANTS,02/12/13,700.00
281113F,ENTEL UK LTD==================,0000133488,1,9.00,RADIO,02/12/13,328.17
281113F,ENTEL UK LTD==================,0000133488,2,52.15,RADIO,02/12/13,
281113F,ENTEL UK LTD==================,0000133488,3,106.66,RADIO,02/12/13,
281113F,ENTEL UK LTD==================,0000133488,4,44.50,RADIO,02/12/13,
281113F,ENTEL UK LTD==================,0000133488,5,47.36,RADIO,02/12/13,
281113F,ENTEL UK LTD==================,0000133488,6,68.50,RADIO,02/12/13,
271113C,HOLIDAY INN LONDON BLOOMSBURY,0001395530,1,"2,725.00",PROFESSIONAL DEVELOPMENT,02/12/13,"2,725.00"
140469,OGILVIE FLEET LTD=============,00262276,1,"1,806.21",LEASE CAR CHARGES,02/12/13,"1,806.21"
281113F,FIRE PREVENTION PRODUCTS LTD==,045468,1,"1,798.52",OPERATIONAL EQUIP-PURCHASE,02/12/13,"1,798.52"
281113F,FIRE PREVENTION PRODUCTS LTD==,045470,1,634.77,OPERATIONAL EQUIP-PURCHASE,02/12/13,634.77
281113F,FIRE PREVENTION PRODUCTS LTD==,045472,1,"1,322.44",OPERATIONAL EQUIP-PURCHASE,02/12/13,"1,322.44"
261113D,AFFINITY WATER,101029070,1,714.00,CURRENT HYDRANT COSTS,02/12/13,714.00
271113C,REGENT OFFICE CARE LTD========,10124,1,190.44,STRATEGIC (CYCLICAL),02/12/13,"8,395.23"
271113C,REGENT OFFICE CARE LTD========,10124,2,158.70,STRATEGIC (CYCLICAL),02/12/13,
271113C,REGENT OFFICE CARE LTD========,10124,3,158.70,STRATEGIC (CYCLICAL),02/12/13,
271113C,REGENT OFFICE CARE LTD========,10124,4,158.70,STRATEGIC (CYCLICAL),02/12/13,
271113C,REGENT OFFICE CARE LTD========,10124,5,158.70,STRATEGIC (CYCLICAL),02/12/13,
271113C,REGENT OFFICE CARE LTD========,10124,6,158.70,STRATEGIC (CYCLICAL),02/12/13,
271113C,REGENT OFFICE CARE LTD========,10124,7,158.70,STRATEGIC (CYCLICAL),02/12/13,
