 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid
291111A,HOBSON & SONS (LONDON) LIMITED,0000002118,1,578.50,UNIFORMS - POMS,01/12/11,578.50
251111C,WOLF SAFETY LAMP CO LTD=======,0000013911,1,877.50,GENERAL CONSUMABLES,01/12/11,877.50
241111C,*APTCO========================,101265,1,"1,500.00",OPERATIONAL EQUIP-PURCHASE,01/12/11,"1,500.00"
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,1,203.02,FUEL,01/12/11,"25,335.20"
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,2,162.30,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,3,209.97,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,4,300.60,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,5,236.61,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,6,69.12,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,7,133.35,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,8,282.90,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,9,138.94,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,10,255.03,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,11,228.17,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,12,328.53,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,13,294.86,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,14,191.51,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,15,156.41,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,16,264.62,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,17,142.86,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,18,135.66,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,19,123.62,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,20,86.05,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,21,252.35,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,22,159.33,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,23,244.10,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,24,180.93,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,25,219.09,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,26,152.58,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,27,128.65,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,28,258.56,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,29,214.62,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,30,191.11,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,31,524.66,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,32,194.89,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,33,345.04,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,34,288.99,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,35,519.84,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,36,156.17,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,37,359.19,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,38,84.33,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,39,173.27,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,40,580.43,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,41,236.49,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,42,185.78,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,43,317.82,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,44,214.78,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,45,183.57,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,46,292.22,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,47,346.05,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,48,135.85,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,49,141.46,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,50,125.57,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,51,163.45,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,52,144.12,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,53,725.02,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,54,387.08,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,55,263.21,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,56,194.39,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,57,159.02,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,58,338.84,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,59,120.06,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,60,250.06,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,61,161.63,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,62,151.78,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,63,286.09,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,64,360.75,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,65,114.05,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,66,198.17,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,67,176.62,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,68,609.66,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,69,134.23,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,70,109.83,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,71,49.67,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,72,95.96,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,73,198.50,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,74,318.06,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,75,637.23,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,76,171.84,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,77,171.36,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,78,180.21,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,79,181.30,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,80,100.74,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,81,142.32,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,82,129.79,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,83,65.24,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,84,241.41,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,85,278.65,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,86,93.20,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,87,264.66,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,88,66.67,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,89,939.88,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,90,698.91,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,91,152.18,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,92,39.71,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,93,140.02,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,94,263.67,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,95,84.90,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,96,67.42,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,97,109.44,FUEL,01/12/11,
281111A,ALLSTAR BUSINESS SOLUTIONS LTD,1017202825,98,373.43,FUEL,01/12/11,
