Borough,Ward,Incidents,Incidents,Incidents,Incidents,Incidents,Primary fires,Primary fires,Primary fires,Primary fires,Primary fires,Arson,Arson,Arson,Arson,Arson,"Dwelling fires
(Accidental)","Dwelling fires
(Accidental)","Dwelling fires
(Accidental)","Dwelling fires
(Accidental)","Dwelling fires
(Accidental)",Fires in care homes and sheltered housing,Fires in care homes and sheltered housing,Fires in care homes and sheltered housing,Fires in care homes and sheltered housing,Fires in care homes and sheltered housing,Fire deaths,Fire deaths,Fire deaths,Fire deaths,Fire deaths,Fire serious injuries,Fire serious injuries,Fire serious injuries,Fire serious injuries,Fire serious injuries,,
Borough,Ward,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,2012/13,2013/14,2014/15,2015/16,2016/17,,
Brent,Tokyngton,161,173,146,199,190,16,11,15,18,19, 4 , 6 , 4 , 4 , 5 , 6 , 5 , 6 , 5 , 11 , , , , , , ,1, , , , ,1, ,3, ,,
Brent,Sudbury,81,88,89,98,100,15,15,20,12,14, 4 , 5 , 1 , 8 , 6 , 6 , 9 , 13 , 4 , 7 , , ,1,1, ,1, , , , , ,1,3,3, ,,
Brent,Stonebridge,356,355,263,336,364,44,39,31,51,33, 12 , 8 , 4 , 16 , 9 , 20 , 18 , 16 , 25 , 15 ,1,5,1,2,1, , , , , ,4,4,18, ,4,,
Brent,Queensbury,107,87,76,100,129,7,13,14,9,18, 5 , 4 , 2 , 1 , 4 , 4 , 4 , 10 , 5 , 9 , , , , , , ,1, , , , ,1,1,2,2,,
Brent,Queens Park,122,109,105,130,110,13,12,13,19,13, 5 , 5 , 1 , 2 , 1 , 8 , 6 , 10 , 14 , 10 , , , , , , , , , ,1,1,3,1, , ,,
Brent,Preston,146,164,123,118,135,12,21,15,13,19, 4 , 5 , 2 , 3 , 7 , 7 , 11 , 11 , 9 , 10 , , ,1,2,1, , , ,1, ,3,1, , ,2,,
Brent,Northwick Park,85,90,86,85,86,19,14,16,15,13, 5 , 2 , 2 , 4 , 5 , 6 , 3 , 5 , 8 , 7 , , , , ,1, , , , , , ,1,2,1, ,,
Brent,Mapesbury,148,137,141,115,104,28,15,16,25,14, 7 , 4 , 5 , 3 , 3 , 19 , 8 , 10 , 17 , 10 ,1,4,1,1,1, , , , , ,2,2, , , ,,
Brent,Kilburn,252,186,170,207,231,29,23,22,9,21, 8 , 2 , 3 , 3 , 3 , 20 , 17 , 11 , 6 , 12 ,3, ,1, , , , , , , ,1,1,1,2, ,,
Brent,Kenton,66,65,81,69,67,13,8,10,11,4, 1 , 3 , 5 , 4 ,   , 10 , 3 , 5 , 7 , 1 ,1, ,1,1, , , , , , ,1, , , , ,,
Brent,Kensal Green,123,128,106,144,142,25,19,22,18,20, 8 , 5 , 2 , 2 , 3 , 17 , 9 , 18 , 11 , 12 ,1,3, ,1, , , , , , ,1, , , , ,,
Brent,Harlesden,149,194,176,200,199,18,21,27,29,21, 2 , 5 , 8 , 9 , 8 , 14 , 16 , 16 , 17 , 15 , , , , ,1, , , , , ,1,2, ,1, ,,
Brent,Fryent,72,81,64,82,98,9,12,14,7,15, 1 , 1 , 7 , 1 , 5 , 5 , 9 , 3 , 1 , 9 , , , , , , , , , , , , , , , ,,
Brent,Dudden Hill,133,125,86,113,136,23,19,16,32,18, 5 , 10 , 2 , 9 , 7 , 14 , 11 , 10 , 21 , 10 , , , , , , , , , , , ,3,4,2, ,,
Brent,Dollis Hill,132,94,139,175,138,11,19,25,24,13, 1 , 1 , 4 , 8 , 5 , 4 , 11 , 12 , 11 , 7 , , , , , , , , ,1, ,1,1,1,2, ,,
Brent,Brondesbury Park,189,185,151,139,144,24,41,25,15,28, 3 , 9 , 5 , 2 , 3 , 13 , 21 , 13 , 9 , 18 ,7,17,7,2,6, , , , , ,2,2,1,3,3,,
Brent,Barnhill,125,123,100,130,150,20,21,9,16,25, 4 , 2 , 1 , 2 , 6 , 11 , 13 , 5 , 13 , 16 ,3,3,1, ,3, , , , , ,1,2,2, ,3,,
Brent,Alperton,95,97,95,92,105,17,11,14,18,15, 5 , 3 , 5 , 5 , 9 , 8 , 4 , 6 , 4 , 6 , , , , , , , , , , , , , ,1,1,,
Bromley,West Wickham,64,75,59,66,69,12,5,5,10,10, 1 , 2 , 1 , 5 , 2 , 5 , 1 , 2 , 6 , 6 ,2, , ,1, , , , ,1, , , ,1, , ,,
Bromley,Shortlands,53,65,67,45,50,10,5,13,5,3, 2 , 1 , 1 ,   ,   , 6 , 3 , 9 , 2 , 2 ,1, ,3,1,1, , ,1, , , , , , , ,,
Bromley,Plaistow and Sundridge,93,133,113,97,106,16,13,19,7,8, 5 , 5 , 7 , 3 , 1 , 10 , 7 , 10 , 5 , 6 ,4,2,2, ,1, , , , , , ,1, ,2, ,,
Bromley,Petts Wood and Knoll,57,67,47,53,70,9,5,9,8,5, 4 , 1 , 3 , 3 , 1 , 5 , 3 , 4 , 4 , 4 ,1, , , , , , , , , ,4, , , , ,,
Bromley,Penge and Cator,197,244,199,210,200,24,29,33,27,28, 8 , 25 , 22 , 14 , 17 , 11 , 13 , 12 , 14 , 13 , , ,1, ,1, , , , , ,2,1,3,5,2,,
Bromley,Orpington,151,160,147,205,164,13,23,15,22,16, 16 , 20 , 12 , 45 , 7 , 3 , 4 , 5 , 5 , 10 , ,1, ,1, , , , , , , , , , , ,,
Bromley,Mottingham and Chislehurst North,96,97,97,104,97,28,17,15,14,16, 14 , 12 , 17 , 10 , 9 , 10 , 9 , 3 , 3 , 7 ,2, , , , , , , , , ,1, , , , ,,
Bromley,Kelsey and Eden Park,161,170,130,151,129,17,22,10,9,14, 5 , 8 , 2 , 5 , 4 , 5 , 9 , 8 , 4 , 9 ,1,2,2,1, , , , , , , ,1,2,1, ,,
Bromley,Hayes and Coney Hall,86,116,93,89,113,13,16,10,11,12, 4 , 13 , 5 , 5 , 10 , 6 , 8 , 5 , 6 , 2 ,3,2,1,1, , , , , , , ,1, , , ,,
Bromley,Farnborough and Crofton,130,124,110,116,101,10,14,10,16,17, 3 , 6 , 8 , 5 , 10 , 5 , 6 , 3 , 5 , 8 ,2,2, , , , , , , ,1,2,1, ,2,1,,
Bromley,Darwin,58,63,47,68,71,7,7,8,13,12, 4 , 7 , 2 , 7 , 14 , 2 ,   , 3 , 4 , 1 , , ,1, , , , , ,1, , , ,1,2, ,,
Bromley,Crystal Palace,155,144,149,182,169,27,17,21,16,19, 15 , 10 , 18 , 9 , 11 , 11 , 6 , 12 , 7 , 9 ,3,5,1,1,1, , , , , ,2,1, ,1, ,,
Bromley,Cray Valley West,121,205,262,262,310,28,24,26,23,33, 25 , 16 , 10 , 12 , 39 , 9 , 5 , 6 , 11 , 9 , , ,2,2,1,1, , , , ,1, ,1, , ,,
Bromley,Cray Valley East,258,242,212,292,308,45,38,30,41,60, 43 , 42 , 44 , 62 , 93 , 13 , 12 , 7 , 11 , 11 ,2,2, ,1,1,1, , , ,1,1, ,3, ,4,,
Bromley,Copers Cope,127,151,143,146,134,15,12,17,15,15, 1 , 2 , 5 , 3 , 3 , 5 , 8 , 8 , 7 , 11 ,3,1,1,2, , , , , , ,5, , ,2,1,,
Bromley,Clock House,119,109,130,103,122,13,6,14,11,14, 3 , 2 , 8 , 1 , 4 , 6 , 2 , 4 , 4 , 10 ,2,1,1,2,1, , , , , ,1,1,1, ,1,,
Bromley,Chislehurst,145,154,126,140,134,14,16,11,12,22, 7 , 5 , 7 , 11 , 5 , 4 , 9 , 1 , 5 , 8 , ,1, , , , , , , , , , ,1, , ,,
Bromley,Chelsfield and Pratts Bottom,80,75,66,79,73,18,12,12,8,17, 5 , 3 , 5 , 4 , 8 , 12 , 5 , 6 , 3 , 5 ,3, ,1,2, , , , , , ,1, ,2, , ,,
Bromley,Bromley Town,300,281,288,291,350,27,23,17,17,27, 6 , 6 , 4 , 3 , 5 , 15 , 8 , 7 , 6 , 13 ,1, , ,2,1, , , , , ,2,2, , , ,,
Bromley,Bromley Common and Keston,137,157,155,175,140,11,16,16,22,24, 14 , 4 , 9 , 13 , 8 , 4 , 9 , 6 , 12 , 8 , , , , , , , , , , , , , ,1,1,,
Bromley,Biggin Hill,85,89,75,74,81,6,10,6,11,6, 9 , 4 , 3 , 6 , 4 , 1 , 4 , 4 , 7 , 3 , , ,3,2, , , , , , , ,1,1, , ,,
Bromley,Bickley,109,119,100,112,90,7,13,10,11,10, 3 , 5 , 8 , 2 , 1 , 5 , 4 , 2 , 6 , 4 , ,1, ,1, , , , , , , , ,1, , ,,
Camden,West Hampstead,234,234,182,155,182,18,16,16,14,17, 2 , 5 ,   , 2 , 2 , 12 , 11 , 13 , 9 , 11 ,1, , ,2,1, , , , , , ,2, ,1,3,,
Camden,Swiss Cottage,209,189,253,199,192,24,16,15,12,12, 3 , 7 , 8 , 2 , 3 , 16 , 12 , 8 , 10 , 6 ,1,1, , ,2,1, , , , , ,1,1, , ,,
Camden,St. Pancras and Somers Town,326,292,300,339,310,21,20,27,27,31, 5 , 4 , 6 , 3 , 6 , 14 , 12 , 13 , 9 , 11 ,3, ,1, , , , , , , ,2, , , ,2,,
Camden,Regent's Park,461,387,340,338,319,32,29,31,15,23, 8 , 12 , 12 , 6 , 6 , 11 , 10 , 13 , 7 , 7 ,1, ,2, , , , , , , ,2,2, , , ,,
Camden,King's Cross,322,332,274,280,298,21,14,23,11,16, 6 , 2 , 4 ,   , 3 , 7 , 4 , 7 , 7 , 10 ,2, , , ,1, , , , , ,1, , ,1, ,,
Camden,Kilburn,246,221,203,246,280,20,19,17,12,23, 3 , 4 , 2 , 4 , 4 , 13 , 13 , 12 , 8 , 16 ,2, , ,1, , , , , ,1,2,3,1, , ,,
Camden,Kentish Town,212,193,177,195,217,23,20,15,21,23, 5 , 4 , 4 , 5 , 8 , 12 , 11 , 8 , 12 , 9 ,1,1,2,1, , ,1, , , ,1, , ,1, ,,
Camden,Holborn and Covent Garden,858,855,785,765,721,46,49,39,40,35, 3 , 5 , 4 , 3 , 7 , 7 , 11 , 10 , 12 , 13 , , , ,1, , , , , ,1,1,5,1,2, ,,
Camden,Highgate,172,197,173,172,175,18,23,21,17,15, 1 , 3 , 5 , 4 , 6 , 13 , 16 , 13 , 11 , 9 ,1, , ,2, , , , , , , , , ,2,3,,
Camden,Haverstock,292,216,205,195,172,22,21,24,11,19, 3 , 3 , 3 , 2 , 9 , 12 , 13 , 16 , 8 , 8 ,2,1,2,2, , ,1, , , ,1, ,1,1,1,,
Camden,Hampstead Town,418,406,349,313,316,17,14,18,19,17, 6 , 2 , 4 , 6 ,   , 9 , 5 , 6 , 10 , 9 ,4, ,1,1,2, , , , , , , , ,1, ,,
Camden,Gospel Oak,151,124,117,115,128,13,16,14,12,8, 3 , 1 , 4 , 3 , 1 , 7 , 9 , 8 , 8 , 5 ,3,2,1, , , , , , , , ,2,2, , ,,
Camden,Frognal and Fitzjohns,143,137,155,149,173,15,12,12,11,8, 1 , 1 , 1 , 1 , 1 , 12 , 6 , 7 , 9 , 7 , , , , , , , , , , ,6,1,1,1, ,,
Camden,Fortune Green,118,124,116,142,123,13,8,10,12,8, 2 , 1 ,   ,   ,   , 10 , 6 , 10 , 11 , 7 , ,1, , , , , , , , ,2, , , ,1,,
Camden,Cantelowes,205,199,193,188,180,23,24,22,19,27, 2 , 9 , 6 , 4 , 7 , 17 , 13 , 11 , 13 , 19 ,3,1, ,1,1, , , ,1, ,1,1,1, ,1,,
Camden,Camden Town with Primrose Hill,202,249,231,273,225,17,33,20,30,26, 5 , 7 , 10 , 7 , 5 , 5 , 14 , 5 , 11 , 13 , ,1,1, ,2, , , , ,1, ,4,1,1,1,,
Camden,Bloomsbury,827,802,636,630,656,41,44,30,31,26, 2 , 5 , 2 , 2 , 4 , 9 , 9 , 10 , 6 , 6 , , , , , , , , , , , ,17,7, , ,,
Camden,Belsize,180,186,137,184,189,21,12,15,20,16, 2 , 7 , 10 , 3 , 2 , 16 , 5 , 4 , 16 , 13 , , , ,1, , , , , , , , ,2, , ,,
City of London,Walbrook,43,43,33,43,50,4,3,5,2,3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , , , , , , , , , , , , , , , ,,
City of London,Vintry,36,38,37,33,29,2,2,2,5,4,   ,   ,   ,   ,   ,   ,   ,   , 1 ,   , , , , , , , , , , , , , , , ,,
City of London,Tower,72,59,74,70,59,9,5,6,3,4,   ,   ,   ,   ,   ,   ,   , 1 ,   ,   , , , , , , , , , , ,2, , , , ,,
City of London,Queenhithe,22,23,24,17,14,1,1,1,1, ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , , , , , , , , , , , , , , , ,,
City of London,Portsoken,27,29,22,28,24,2,4,3,2,2,   ,   , 1 ,   ,   , 1 , 2 , 2 , 1 , 1 , , , , , ,1, , , , , , , ,1, ,,
City of London,Lime Street,20,28,29,42,40, ,2, ,1, ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , , , , , , , , , , , , , , , ,,
City of London,Langbourn,57,26,46,45,43, ,5,1,3,4,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , , , , , , , , , , , , , , , ,,
City of London,Farringdon Without,116,94,81,74,65,6,13,6,8,1, 1 , 1 ,   ,   ,   , 1 , 1 , 2 , 1 ,   , , , , , , , , , , , , ,1, , ,,
City of London,Farringdon Within,96,102,96,94,76,6,6, ,9,6, 2 , 1 ,   , 1 ,   , 1 ,   ,   , 1 ,   , , , , , , , , , , , , , , , ,,
City of London,Dowgate,38,36,50,19,27,2,1,2,2, ,   ,   ,   ,   ,   ,   ,   , 1 ,   ,   , , , , , , , , , , , , , , , ,,
