 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid
139740,GOOD ENERGY===================,003016060F,1,932.10,ELECTRICITY,02/07/12,932.10
260612C,REGENT OFFICE CARE LTD========,0036682,1,157.50,STRATEGIC (CYCLICAL),02/07/12,"5,670.00"
260612C,REGENT OFFICE CARE LTD========,0036682,2,157.50,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,3,189.00,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,4,189.00,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,5,189.00,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,6,157.50,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,7,189.00,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,8,189.00,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,9,189.00,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,10,189.00,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,11,189.00,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,12,157.50,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,13,157.50,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,14,157.50,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,15,189.00,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,16,189.00,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,17,157.50,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,18,157.50,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,19,189.00,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,20,157.50,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,21,189.00,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,22,157.50,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,23,157.50,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,24,157.50,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,25,189.00,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,26,189.00,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,27,157.50,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,28,157.50,STRATEGIC (CYCLICAL),02/07/12,
260612C,REGENT OFFICE CARE LTD========,0036682,29,157.50,STRATEGIC (CYCLICAL),02/07/12,
