 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
271015H,HEALTH MANAGEMENT LIMITED=====,138441,1,"1,200.00",THIRD PARTY REPORTS,02/11/2015,"1,200.00",HR Management,Healthcare
281015H,MOOLANDS LTD,2296,1,"2,279.00",STRATEGIC (NON CYCLICAL),02/11/2015,"2,669.00",Technical and Service Support,"Works - Construction, R&M"
281015H,MOOLANDS LTD,2296,2,390,STRATEGIC (NON CYCLICAL),02/11/2015,,Technical and Service Support,"Works - Construction, R&M"
231015H,MOOLANDS LTD,3174,1,950,TACTICAL DAY TO DAY,02/11/2015,950,Technical And Service Support,"Works - Construction, R&M"
231015H,MOOLANDS LTD,3175,1,950,TACTICAL DAY TO DAY,02/11/2015,950,Technical And Service Support,"Works - Construction, R&M"
271015H,OGILVIE FLEET LTD=============,357248,1,367.63,MILEAGE CHARGES,02/11/2015,367.63,Procurement,Vehicle Management
151015M,MORRISEY ELECTRICAL & BUILDING,1030,1,"28,500.00",DEVELOPMENT  EXPENSES-CONTRACT,02/11/2015,"28,500.00",Technical and Service Support,"Works - Construction, R&M"
800066136,*JAMES HUNTER (OUTFITTERS) LTD,108299,1,230.9,CLOTHING,02/11/2015,369.72,Operations Fire Stations,Clothing
800066136,*JAMES HUNTER (OUTFITTERS) LTD,108299,2,138.82,CLOTHING,02/11/2015,,Operations Fire Stations,Clothing
800066150,*JAMES HUNTER (OUTFITTERS) LTD,108313,1,293.13,CLOTHING,02/11/2015,293.13,Operations Fire Stations,Clothing
800066151,*JAMES HUNTER (OUTFITTERS) LTD,108314,1,61.79,CLOTHING,02/11/2015,299.16,Operations Fire Stations,Clothing
800066151,*JAMES HUNTER (OUTFITTERS) LTD,108314,2,49.2,CLOTHING,02/11/2015,,Operations Fire Stations,Clothing
800066151,*JAMES HUNTER (OUTFITTERS) LTD,108314,3,188.17,CLOTHING,02/11/2015,,Operations Fire Stations,Clothing
800068912,*JAMES HUNTER (OUTFITTERS) LTD,108361,1,74.45,CLOTHING,02/11/2015,325.54,Operations Fire Stations,Clothing
800068912,*JAMES HUNTER (OUTFITTERS) LTD,108361,2,251.09,CLOTHING,02/11/2015,,Operations Fire Stations,Clothing
800068930,*JAMES HUNTER (OUTFITTERS) LTD,108379,1,293.13,CLOTHING,02/11/2015,293.13,Operations Fire Stations,Clothing
271015H,CO-STAR ELECTRONIC COMPONENTS=,158628/180878,1,75,RADIO,02/11/2015,337.76,Information and Communication Technology,ICT
271015H,CO-STAR ELECTRONIC COMPONENTS=,158628/180878,2,36.72,RADIO,02/11/2015,,Information and Communication Technology,ICT
271015H,CO-STAR ELECTRONIC COMPONENTS=,158628/180878,3,69.7,RADIO,02/11/2015,,Information and Communication Technology,ICT
271015H,CO-STAR ELECTRONIC COMPONENTS=,158628/180878,4,41.24,RADIO,02/11/2015,,Information and Communication Technology,ICT
271015H,CO-STAR ELECTRONIC COMPONENTS=,158628/180878,5,57.84,RADIO,02/11/2015,,Information and Communication Technology,ICT
271015H,CO-STAR ELECTRONIC COMPONENTS=,158628/180878,6,26.18,RADIO,02/11/2015,,Information and Communication Technology,ICT
271015H,CO-STAR ELECTRONIC COMPONENTS=,158628/180878,7,19.74,RADIO,02/11/2015,,Information and Communication Technology,ICT
271015H,CO-STAR ELECTRONIC COMPONENTS=,158628/180878,8,11.34,RADIO,02/11/2015,,Information and Communication Technology,ICT
271015H,BRIGHT INTERACTIVE LTD========,200/0141/1,1,450,CONSULTANTS,02/11/2015,922.5,Information Management,ICT
271015H,BRIGHT INTERACTIVE LTD========,200/0141/1,2,472.5,CONSULTANTS,02/11/2015,,Information Management,ICT
281015H,PELI PRODUCTS (UK) LTD========,250374,1,124.08,OPERATIONAL EQUIP-PURCHASE,02/11/2015,"3,860.28",Operational Resilience,Fire & Rescue
281015H,PELI PRODUCTS (UK) LTD========,250374,2,"3,736.20",OPERATIONAL EQUIP-PURCHASE,02/11/2015,,Operational Resilience,Fire & Rescue
800068260,ADECCO UK LIMITED=============,27289045,1,"1,563.10",FRS STAFF AGENCY,02/11/2015,"1,563.10",Legal & Democratic Services,Human Resources
