 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid
140763,YOUTH UNITED FOUNDATION,LINCOLNSHIRE SUG'S,1,"12,500.00",SPONSORSHIP GRANTS & DONATIONS,05/08/2014,"12,500.00"
230714E,GERDA SECURITY PRODUCTS LTD,28008,1,500,OPERATIONAL EQUIP-PURCHASE,07/08/2014,"1,300.00"
230714E,GERDA SECURITY PRODUCTS LTD,28008,2,800,OPERATIONAL EQUIP-PURCHASE,07/08/2014,
010814E,HAZLEMERE WINDOW CO.LTD,29260,1,"1,795.83",DEVELOPMENT  EXPENSES-CONTRACT,07/08/2014,"1,795.83"
010814E,ENTEL UK LTD==================,141985,1,360,RADIO,07/08/2014,894
010814E,ENTEL UK LTD==================,141985,2,9,RADIO,07/08/2014,
010814E,ENTEL UK LTD==================,141985,3,262.5,RADIO,07/08/2014,
010814E,ENTEL UK LTD==================,141985,4,262.5,RADIO,07/08/2014,
010814E,TURNER & TOWNSEND PROJECT MNGT,545666,1,"7,982.00",PROF FEES-MISCELLANEOUS,07/08/2014,"7,982.00"
050814F,HAYS ACCOUNTANCY & FINANCE====,1004543390,1,696,FRS STAFF AGENCY,07/08/2014,696
290714E,*SPRUE SAFETY PRODUCTS LTD====,1063368,1,"1,483.20",FIRE DETECTORS,07/08/2014,"1,483.20"
290714E,*SPRUE SAFETY PRODUCTS LTD====,1063468,1,800,FIRE DETECTORS,07/08/2014,800
290714E,*SPRUE SAFETY PRODUCTS LTD====,1063517,1,440,FIRE DETECTORS,07/08/2014,440
800041209,*JAMES HUNTER (OUTFITTERS) LTD,107768,1,231.56,CLOTHING,07/08/2014,355.14
800041209,*JAMES HUNTER (OUTFITTERS) LTD,107768,2,123.58,CLOTHING,07/08/2014,
800041210,*JAMES HUNTER (OUTFITTERS) LTD,107769,1,231.56,CLOTHING,07/08/2014,355.14
800041210,*JAMES HUNTER (OUTFITTERS) LTD,107769,2,123.58,CLOTHING,07/08/2014,
800040839,*GET YOURSELF NOTICED LTD,11402,1,526,OPERATIONAL EQUIP-PURCHASE,07/08/2014,526
050814F,RUTH LEE LTD==================,12363,1,340,PROTECTIVE EQUIPT - PARTS,07/08/2014,340
010814E,HAGEMEYER UK LTD==============,131459711,1,"1,108.90",FIRE DETECTORS,07/08/2014,"1,108.90"
050814F,MAYFAIR'S COACHES LTD=========,13483,1,400,CONTRACT HIRE,07/08/2014,800
050814F,MAYFAIR'S COACHES LTD=========,13483,2,400,CONTRACT HIRE,07/08/2014,
