 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclasss
290715M,MOOLANDS LTD,2437,1,"6,698.00",STRATEGIC (NON CYCLICAL),03/08/2015,"6,698.00",Technical and Service Support,"Works - Construction, R&M"
280715M,MOOLANDS LTD,2642,1,"2,000.00",STRATEGIC (NON CYCLICAL),03/08/2015,"2,000.00",Technical and Service Support,"Works - Construction, R&M"
280715M,MOOLANDS LTD,2643,1,"2,405.00",STRATEGIC (NON CYCLICAL),03/08/2015,"2,405.00",Technical And Service Support,"Works - Construction, R&M"
290715M,"TOYE, KENNING & SPENCER LTD===",10291225,1,510,CLOTHING,03/08/2015,510,Property PFI,Clothing
800063965,*JAMES HUNTER (OUTFITTERS) LTD,108268,1,246.45,CLOTHING,03/08/2015,319.32,Operations Non Fire Stations,Clothing
800063965,*JAMES HUNTER (OUTFITTERS) LTD,108268,2,72.87,CLOTHING,03/08/2015,,Operations Non Fire Stations,Clothing
800063970,*JAMES HUNTER (OUTFITTERS) LTD,108273,1,72.87,CLOTHING,03/08/2015,319.32,Operations Non Fire Stations,Clothing
800063970,*JAMES HUNTER (OUTFITTERS) LTD,108273,2,246.45,CLOTHING,03/08/2015,,Operations Non Fire Stations,Clothing
280715M,SURREY BLIND & CURTAIN CO=====,14674,1,"1,120.50",FIXTURES & FITTINGS,03/08/2015,"1,120.50",Technical And Service Support,"Works - Construction, R&M"
280715M,BUREAU VERITAS HS&E LTD=======,15010868,1,"97,510.95",SCIENTIFIC SERVICES,03/08/2015,"97,510.95",Procurement,Environmental Services
030815H,APPLUS LLT,15057,1,"3,750.00",GENERAL,03/08/2015,"3,750.00",Procurement,Vehicle Management
141130,ARTHUR J. GALLAGHER (UK),18744087,1,"5,400.00",CONSULTANTS,03/08/2015,"7,200.00",Finance Services,Consultancy
141130,ARTHUR J. GALLAGHER (UK),18744087,2,"1,800.00",PAYMENTS IN ADVANCE,03/08/2015,,Do not include,Consultancy
270715M,C. S. TODD & ASSOCIATES LTD,22207,1,"2,500.00",CONSULTANTS,03/08/2015,"2,500.00",Fire Safety Regulation,Human Resources
290715M,GRADIENT CONSULTANTS LLP======,2365,1,105,ASBESTOS,03/08/2015,740,Technical and Service Support,"Works - Construction, R&M"
290715M,GRADIENT CONSULTANTS LLP======,2365,2,105,ASBESTOS,03/08/2015,,Technical and Service Support,"Works - Construction, R&M"
290715M,GRADIENT CONSULTANTS LLP======,2365,3,55,ASBESTOS,03/08/2015,,Technical and Service Support,"Works - Construction, R&M"
290715M,GRADIENT CONSULTANTS LLP======,2365,4,105,ASBESTOS,03/08/2015,,Technical and Service Support,"Works - Construction, R&M"
290715M,GRADIENT CONSULTANTS LLP======,2365,5,105,ASBESTOS,03/08/2015,,Technical and Service Support,"Works - Construction, R&M"
290715M,GRADIENT CONSULTANTS LLP======,2365,6,105,ASBESTOS,03/08/2015,,Technical and Service Support,"Works - Construction, R&M"
290715M,GRADIENT CONSULTANTS LLP======,2365,7,105,ASBESTOS,03/08/2015,,Technical and Service Support,"Works - Construction, R&M"
290715M,GRADIENT CONSULTANTS LLP======,2365,8,55,ASBESTOS,03/08/2015,,Technical and Service Support,"Works - Construction, R&M"
240715H,*LOCKHART CATERING EQUIPMENT,2478659,1,27.96,CATERING EQUIPMENT,03/08/2015,385.24,Operations Fire Stations,Catering
240715H,*LOCKHART CATERING EQUIPMENT,2478659,2,137.8,CATERING EQUIPMENT,03/08/2015,,Operations Fire Stations,Catering
240715H,*LOCKHART CATERING EQUIPMENT,2478659,3,67.68,CATERING EQUIPMENT,03/08/2015,,Operations Fire Stations,Catering
240715H,*LOCKHART CATERING EQUIPMENT,2478659,4,7.76,CATERING EQUIPMENT,03/08/2015,,Operations Fire Stations,Catering
240715H,*LOCKHART CATERING EQUIPMENT,2478659,5,28.86,CATERING EQUIPMENT,03/08/2015,,Operations Fire Stations,Catering
240715H,*LOCKHART CATERING EQUIPMENT,2478659,6,13.84,CATERING EQUIPMENT,03/08/2015,,Operations Fire Stations,Catering
240715H,*LOCKHART CATERING EQUIPMENT,2478659,7,61.92,CATERING EQUIPMENT,03/08/2015,,Operations Fire Stations,Catering
240715H,*LOCKHART CATERING EQUIPMENT,2478659,8,5.76,CATERING EQUIPMENT,03/08/2015,,Operations Fire Stations,Catering
240715H,*LOCKHART CATERING EQUIPMENT,2478659,9,8.98,CATERING EQUIPMENT,03/08/2015,,Operations Fire Stations,Catering
240715H,*LOCKHART CATERING EQUIPMENT,2478659,10,15.28,CATERING EQUIPMENT,03/08/2015,,Operations Fire Stations,Catering
240715H,*LOCKHART CATERING EQUIPMENT,2478659,11,5.82,CATERING EQUIPMENT,03/08/2015,,Operations Fire Stations,Catering
240715H,*LOCKHART CATERING EQUIPMENT,2478659,12,3.58,CATERING EQUIPMENT,03/08/2015,,Operations Fire Stations,Catering
800063480,ADECCO UK LIMITED=============,27155286,1,351.68,FRS STAFF AGENCY,03/08/2015,351.68,Finance Services,Human Resources
800063481,ADECCO UK LIMITED=============,27162052,1,439.6,FRS STAFF AGENCY,03/08/2015,439.6,Finance Services,Human Resources
800063482,ADECCO UK LIMITED=============,27168517,1,351.68,FRS STAFF AGENCY,03/08/2015,351.68,Finance Services,Human Resources
800063735,ADECCO UK LIMITED=============,27187702,1,900.2,FRS STAFF AGENCY,03/08/2015,900.2,National Operational Guidance Project,Human Resources
800063736,ADECCO UK LIMITED=============,27193988,1,900.2,FRS STAFF AGENCY,03/08/2015,900.2,National Operational Guidance Project,Human Resources
290715M,DRAEGER SAFETY UK LIMITED=====,2910024109,1,265,REPAIR & MAINTENANCE,03/08/2015,265,Technical And Service Support,Fire & Rescue
230715H,DRAEGER SAFETY UK LIMITED=====,2910024254,1,271.2,PROTECTIVE EQUIPT - PARTS,03/08/2015,271.2,Technical and Service Support,Fire & Rescue
280715M,BRISTOL UNIFORMS LTD==========,3122656,1,690,OPERATIONAL EQUIP-PURCHASE,03/08/2015,690,Operations Non Fire Stations,Clothing
290715M,EUROLOOS LTD,37730,1,850,OPERATIONAL EQUIP-PURCHASE,03/08/2015,850,Operations Non Fire Stations,Facilities & Management S
280715M,SAFEGUARD PEST CON. & ENV.LTD,38072,1,480,PEST CONTROL,03/08/2015,480,Technical And Service Support,Environmental Services
280715M,EVOLUTION ENVIRONMENTAL LTD,3822,1,695,DEVELOPMENT  EXPENSES-CONTRACT,03/08/2015,695,Technical and Service Support,"Works - Construction, R&M"
290715M,COMPUTACENTRE================,3880526069,1,875.74,ACQUISITIONS,03/08/2015,875.74,Information and Communication Technology,ICT
280715M,*HOMEPACK LTD=================,42056,1,97.2,OPERATIONAL EQUIP-PURCHASE,03/08/2015,291.6,Operations Fire Stations,Building Constr Materials
280715M,*HOMEPACK LTD=================,42056,2,97.2,OPERATIONAL EQUIP-PURCHASE,03/08/2015,,Operations Fire Stations,Building Constr Materials
280715M,*HOMEPACK LTD=================,42056,3,97.2,OPERATIONAL EQUIP-PURCHASE,03/08/2015,,Operations Fire Stations,Building Constr Materials
240715H,PERFORMING RIGHT SOCIETY LTD==,4588517,1,"28,857.80",LICENCES,03/08/2015,"28,857.80",Technical And Service Support,Arts & Leisure Services
150715M,CAPITA SECURE INFO SOLUTIONS,6060004723,1,"63,598.77",CAMS CONTRACT,03/08/2015,"63,598.77",CAMS Project,ICT
280715M,AECOM INFRASTRUCTURE &,6266551,1,"2,767.19",STRATEGIC (NON CYCLICAL),03/08/2015,"2,767.19",Technical and Service Support,Consultancy
280715M,AECOM INFRASTRUCTURE &,6267592,1,"6,736.06",PROF FEES-MISCELLANEOUS,03/08/2015,"6,736.06",Technical and Service Support,Consultancy
290715M,GEORGE JONES & SON LTD========,723,1,"10,558.00",STRATEGIC (NON CYCLICAL),03/08/2015,"10,558.00",Technical and Service Support,"Works - Construction, R&M"
290715M,CANON (UK) LTD===============,770533208,1,225.06,OFFICE EQUIPMENT,03/08/2015,675.18,HR Management,ICT
290715M,CANON (UK) LTD===============,770533208,2,225.06,OFFICE EQUIPMENT,03/08/2015,,Procurement,ICT
290715M,CANON (UK) LTD===============,770533208,3,225.06,OFFICE EQUIPMENT,03/08/2015,,Operations Non Fire Stations,ICT
280715M,FIRE SERVICE COLLEGE LTD======,803514,1,"2,100.00",PROFESSIONAL DEVELOPMENT,03/08/2015,"2,100.00",National Operational Guidance Project,Human Resources
141137,THOMPSONS SOLICITORS==========,8078,2,"2,000.00",CLAIMANT COSTS AGREED,03/08/2015,"2,000.00",Compensation Budgets,Legal Services
290715M,ARCHITECTURAL DECORATORS LTD==,AD23380,1,"30,811.52",STRATEGIC (NON CYCLICAL),03/08/2015,"30,811.52",Technical and Service Support,Building Constr Materials
280715M,PITNEY BOWES PURCHASE POWER,BC838167,1,"4,168.24",POSTAL SERVICES,03/08/2015,"4,168.24",Information Management,Mail Services
280715M,PITNEY BOWES FINANCE PLC======,BL05176966,1,"1,483.38",OFFICE EQUIPMENT,03/08/2015,"1,483.38",Information Management,ICT
280715M,E&S B DAVIS LTD,DAV/56657,1,295,OPERATIONAL EQUIP-PURCHASE,03/08/2015,295,Operations Fire Stations,Environmental Services
280715M,E&S B DAVIS LTD,DAV/56748,1,295,OPERATIONAL EQUIP-PURCHASE,03/08/2015,295,Operations Fire Stations,Environmental Services
280715M,E&S B DAVIS LTD,DAV/56825,1,"1,000.00",OPERATIONAL EQUIP-PURCHASE,03/08/2015,"1,000.00",Operations Fire Stations,Environmental Services
280715M,E&S B DAVIS LTD,DAV/57196,1,295,OPERATIONAL EQUIP-PURCHASE,03/08/2015,295,Operations Fire Stations,Environmental Services
280715M,E&S B DAVIS LTD,DAV/57318,1,295,OPERATIONAL EQUIP-PURCHASE,03/08/2015,295,Operations Fire Stations,Environmental Services
280715M,E&S B DAVIS LTD,DAV/57346,1,295,OPERATIONAL EQUIP-PURCHASE,03/08/2015,295,Operations Fire Stations,Environmental Services
280715M,E&S B DAVIS LTD,DAV/57397,1,885,OPERATIONAL EQUIP-PURCHASE,03/08/2015,885,Challenge Team,Environmental Services
280715M,E&S B DAVIS LTD,DAV/57468,1,590,OPERATIONAL EQUIP-PURCHASE,03/08/2015,590,Operations Fire Stations,Environmental Services
280715M,E&S B DAVIS LTD,DAV/57497,1,295,OPERATIONAL EQUIP-PURCHASE,03/08/2015,295,Operations Fire Stations,Environmental Services
280715M,E&S B DAVIS LTD,DAV/57626,1,295,OPERATIONAL EQUIP-PURCHASE,03/08/2015,295,Operations Fire Stations,Environmental Services
280715M,E&S B DAVIS LTD,DAV/57627,1,590,OPERATIONAL EQUIP-PURCHASE,03/08/2015,590,Operations Fire Stations,Environmental Services
280715M,E&S B DAVIS LTD,DAV/57641,1,295,OPERATIONAL EQUIP-PURCHASE,03/08/2015,295,Operations Fire Stations,Environmental Services
280715M,E&S B DAVIS LTD,DAV/57748,1,"1,180.00",OPERATIONAL EQUIP-PURCHASE,03/08/2015,"1,180.00",Operations Fire Stations,Environmental Services
280715M,E&S B DAVIS LTD,DAV57496,1,295,OPERATIONAL EQUIP-PURCHASE,03/08/2015,295,Operations Fire Stations,Environmental Services
290715M,HALL FUELS,I07723399,1,"1,846.60",FUEL,03/08/2015,"1,846.60",Operations Fire Stations,Vehicle Management
270715M,HALL FUELS,I07731909,1,"1,178.32",FUEL,03/08/2015,"1,178.32",Operations Fire Stations,Vehicle Management
141130,QBE INSURANCE (EUROPE) LTD====,INSTALMENT 1 15/16,1,"400,000.00",INSURANCE CLAIMS,03/08/2015,"400,000.00",Procurement,Vehicle Management
290715M,QA LIMITED,ISL128840,1,"4,344.00",PROFESSIONAL DEVELOPMENT,03/08/2015,"4,344.00",Information Management,Human Resources
280715M,SUTTON & EAST SURREY WATER PLC,SI033380 / SCR01999,1,608.67,CURRENT HYDRANT COSTS,03/08/2015,608.67,Operational Resilience,Utilities
220715H,GROUND CONTROL LIMITED,SIN057191,1,"1,375.00",GROUNDS MAINTENANCE,03/08/2015,"1,375.00",Technical And Service Support,"Works - Construction, R&M"
220715H,GROUND CONTROL LIMITED,SIN057194,1,"1,040.00",GROUNDS MAINTENANCE,03/08/2015,"1,040.00",Technical And Service Support,"Works - Construction, R&M"
230715H,SABRE SAFETY LTD,SUKIN15736,1,382.45,PROTECTIVE EQUIPT - PARTS,03/08/2015,477.95,Technical and Service Support,Fire & Rescue
230715H,SABRE SAFETY LTD,SUKIN15736,2,65,PROTECTIVE EQUIPT - PARTS,03/08/2015,,Technical and Service Support,Fire & Rescue
230715H,SABRE SAFETY LTD,SUKIN15736,3,30.5,REPAIR & MAINTENANCE,03/08/2015,,Technical And Service Support,Fire & Rescue
310715M,NORTHERN DIVER (INTERNATIONAL),161371,1,120,OPERATIONAL EQUIP-PURCHASE,06/08/2015,452.5,Technical And Service Support,Fire & Rescue
310715M,NORTHERN DIVER (INTERNATIONAL),161371,2,120,OPERATIONAL EQUIP-PURCHASE,06/08/2015,,Technical And Service Support,Fire & Rescue
310715M,NORTHERN DIVER (INTERNATIONAL),161371,3,115,OPERATIONAL EQUIP-PURCHASE,06/08/2015,,Technical And Service Support,Fire & Rescue
310715M,NORTHERN DIVER (INTERNATIONAL),161371,4,90,OPERATIONAL EQUIP-PURCHASE,06/08/2015,,Technical And Service Support,Fire & Rescue
310715M,NORTHERN DIVER (INTERNATIONAL),161371,5,7.5,OPERATIONAL EQUIP-PURCHASE,06/08/2015,,Technical And Service Support,Fire & Rescue
310715M,MOOLANDS LTD,2579,1,316,TACTICAL DAY TO DAY,06/08/2015,316,Technical And Service Support,"Works - Construction, R&M"
141136,THAMES WATER UTILITIES LTD====,0077450054G,1,525.79,WATER & SEWERAGE RATES,06/08/2015,525.79,Technical And Service Support,Utilities
141136,THAMES WATER UTILITIES LTD====,0229569091G,1,300.48,WATER & SEWERAGE RATES,06/08/2015,300.48,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,1,338.39,GAS,06/08/2015,"7,671.06",Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,2,5.94,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,3,133.65,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,4,220.78,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,5,248.55,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,6,420.65,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,7,210.57,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,8,279.09,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,9,203.18,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,10,169.86,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,11,155.94,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,12,313.34,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,13,539.85,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,14,200.27,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,15,23.06,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,16,21.05,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,17,19.85,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,18,246.11,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,19,756.27,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,20,254.63,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,21,295.22,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,22,108.05,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,23,266.1,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,24,322.77,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,25,335.81,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,26,357.08,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,27,141.08,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,28,25.83,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,29,692.02,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,30,21.05,GAS,06/08/2015,,Technical And Service Support,Utilities
141131,CORONA ENERGY RETAIL 4 LTD,1026806151,31,345.02,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,1,201.15,GAS,06/08/2015,"9,462.52",Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,2,92.1,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,3,170.08,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,4,293.46,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,5,357.35,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,6,20.91,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,7,361.85,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,8,206.35,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,9,245.89,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,10,285.14,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,11,317.94,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,12,229.67,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,13,220.1,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,14,319.12,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,15,355.62,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,16,42.56,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,17,83.42,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,18,"1,442.64",GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,19,182.07,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,20,96.54,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,21,182.31,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,22,598.78,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,23,211.58,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,24,"1,103.24",GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,25,170.34,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,26,308.12,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,27,223.51,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,28,248.6,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,29,592.05,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,30,88.35,GAS,06/08/2015,,Technical And Service Support,Utilities
141132,CORONA ENERGY RETAIL 4 LTD,1026806152,31,211.68,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,1,334,GAS,06/08/2015,"8,858.26",Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,2,281.11,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,3,518.35,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,4,722.76,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,5,333.36,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,6,381.97,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,7,762.77,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,8,116.05,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,9,212.52,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,10,258.86,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,11,316.83,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,12,360.6,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,13,413.84,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,14,195.83,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,15,268.81,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,16,69.3,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,17,351.96,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,18,274.87,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,19,9,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,20,318.68,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,21,340.57,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,22,31.2,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,23,249.91,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,24,182.62,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,25,402.2,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,26,285.34,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,27,126.81,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,28,323.3,GAS,06/08/2015,,Technical And Service Support,Utilities
141133,CORONA ENERGY RETAIL 4 LTD,1026806153,29,414.84,GAS,06/08/2015,,Technical And Service Support,Utilities
141134,CORONA ENERGY RETAIL 4 LTD,1026806154,1,460.26,GAS,06/08/2015,"3,103.24",Technical And Service Support,Utilities
141134,CORONA ENERGY RETAIL 4 LTD,1026806154,2,25.59,GAS,06/08/2015,,Technical And Service Support,Utilities
141134,CORONA ENERGY RETAIL 4 LTD,1026806154,3,251.06,GAS,06/08/2015,,Technical And Service Support,Utilities
141134,CORONA ENERGY RETAIL 4 LTD,1026806154,4,282.6,GAS,06/08/2015,,Technical And Service Support,Utilities
141134,CORONA ENERGY RETAIL 4 LTD,1026806154,5,631.6,GAS,06/08/2015,,Technical And Service Support,Utilities
141134,CORONA ENERGY RETAIL 4 LTD,1026806154,6,315.66,GAS,06/08/2015,,Technical And Service Support,Utilities
141134,CORONA ENERGY RETAIL 4 LTD,1026806154,7,336.23,GAS,06/08/2015,,Technical And Service Support,Utilities
141134,CORONA ENERGY RETAIL 4 LTD,1026806154,8,156.27,GAS,06/08/2015,,Technical And Service Support,Utilities
141134,CORONA ENERGY RETAIL 4 LTD,1026806154,9,170.33,GAS,06/08/2015,,Technical And Service Support,Utilities
141134,CORONA ENERGY RETAIL 4 LTD,1026806154,10,174.16,GAS,06/08/2015,,Technical And Service Support,Utilities
141134,CORONA ENERGY RETAIL 4 LTD,1026806154,11,158.77,GAS,06/08/2015,,Technical And Service Support,Utilities
141134,CORONA ENERGY RETAIL 4 LTD,1026806154,12,140.71,GAS,06/08/2015,,Technical And Service Support,Utilities
280715M,*SPRUE SAFETY PRODUCTS LTD====,1078399,1,"4,000.00",FIRE DETECTORS,06/08/2015,"4,000.00",Operations Non Fire Stations,Health & Safety
280715M,*SPRUE SAFETY PRODUCTS LTD====,1078400,1,"2,200.00",FIRE DETECTORS,06/08/2015,"2,200.00",Operations Non Fire Stations,Health & Safety
800063974,*JAMES HUNTER (OUTFITTERS) LTD,108202,1,289.84,CLOTHING,06/08/2015,289.84,Operations Non Fire Stations,Clothing
800063996,*JAMES HUNTER (OUTFITTERS) LTD,108224,1,362.23,CLOTHING,06/08/2015,362.23,Operations Fire Stations,Clothing
800063997,*JAMES HUNTER (OUTFITTERS) LTD,108225,1,362.23,CLOTHING,06/08/2015,362.23,Operations Fire Stations,Clothing
800064009,*JAMES HUNTER (OUTFITTERS) LTD,108238,1,293.13,CLOTHING,06/08/2015,293.13,Operations Fire Stations,Clothing
800064017,*JAMES HUNTER (OUTFITTERS) LTD,108246,1,293.13,CLOTHING,06/08/2015,293.13,Operations Fire Stations,Clothing
800063968,*JAMES HUNTER (OUTFITTERS) LTD,108271,1,282.83,CLOTHING,06/08/2015,282.83,Fire Safety Regulation,Clothing
030815H,VERSEIDAG-SEEMEE UK LTD=======,121416,1,585,OPERATIONAL EQUIP-PURCHASE,06/08/2015,687,Technical And Service Support,Fire & Rescue
