 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid
221012E,HAZLEMERE WINDOW CO.LTD,0000025392,1,"59,121.38",DEVELOPMENT EXP - CONTRACTORS,01/11/12,"59,121.38"
291012C,SPEAKERS TRUST,0738,1,"1,545.00",TRAINING & CONFERENCES,01/11/12,"1,545.00"
291012C,G WORRALL & SON LIMITED=======,097064,1,369.00,TACTICAL DAY TO DAY,01/11/12,369.00
171012E,COMPASS GROUP PLC============,10015304,1,394.00,REFRESHMENTS,01/11/12,394.00
261012E,CARILLION COMMUNICATIONS LTD==,1011138,1,289.00,TACTICAL DAY TO DAY,01/11/12,289.00
251012E,ARVAL UK LTD,1019090643,1,792.82,CONTRACT HIRE,01/11/12,792.82
291012E,*SPRUE SAFETY PRODUCTS LTD====,1037631,1,632.00,FIRE DETECTORS,01/11/12,632.00
291012E,*SPRUE SAFETY PRODUCTS LTD====,1038130,1,"1,011.20",FIRE DETECTORS,01/11/12,"1,011.20"
291012E,*SPRUE SAFETY PRODUCTS LTD====,1038131,1,"1,011.20",FIRE DETECTORS,01/11/12,"1,011.20"
291012E,*SPRUE SAFETY PRODUCTS LTD====,1038134,1,"1,011.20",FIRE DETECTORS,01/11/12,"1,011.20"
139938,CILEX=========================,10744,1,290.00,PRACT CERT & DRIVING LICENCES,01/11/12,290.00
251012E,DELOITTE LLP,1110853461,1,"2,973.24",PROFESSIONAL SERVICES,01/11/12,"2,973.24"
251012E,DELOITTE LLP,1110853624,1,"1,362.73",PROFESSIONAL SERVICES,01/11/12,"1,362.73"
139934,BOURNE CONSTRUCTION COMPANY,12/392,1,800.00,STRATEGIC (NON CYCLICAL),01/11/12,"1,400.00"
139934,BOURNE CONSTRUCTION COMPANY,12/392,2,600.00,STRATEGIC (NON CYCLICAL),01/11/12,
261012E,BUREAU VERITAS HS&E LTD=======,12019129,1,"91,451.47",SCIENTIFIC SERVICES,01/11/12,"91,451.47"
261012E,CARPETS & FLOOR COVERS DIRECT=,1249,1,"1,596.00",FIXTURES & FITTINGS,01/11/12,"1,596.00"
261012E,CARPETS & FLOOR COVERS DIRECT=,1250,1,708.00,FIXTURES & FITTINGS,01/11/12,708.00
261012E,CARPETS & FLOOR COVERS DIRECT=,1251,1,"2,520.00",FIXTURES & FITTINGS,01/11/12,"2,520.00"
139931,AFFINITY WATER,12960038T,1,389.06,WATER & SEWERAGE RATES,01/11/12,389.06
139934,B NOKES CONTRACTS LTD,1560,1,"4,830.00",STRATEGIC (NON CYCLICAL),01/11/12,"8,652.00"
139934,B NOKES CONTRACTS LTD,1560,2,"3,822.00",STRATEGIC (NON CYCLICAL),01/11/12,
251012E,BRISTOL UNIFORMS LTD==========,195448,1,"1,070.00",CLOTHING,01/11/12,"1,070.00"
251012E,AUTOGLASS LIMITED=============,20028565,1,651.02,WINDSCREEN & TYRE CHARGES,01/11/12,651.02
261012E,DYSLEXIA ASSESSMENT & CONSULTA,2051,1,475.00,TRAINING & CONFERENCES,01/11/12,475.00
139931,AFFINITY WATER,2094979-4J,1,322.50,WATER & SEWERAGE RATES,01/11/12,322.50
139938,CILEX=========================,21615,1,290.00,PRACT CERT & DRIVING LICENCES,01/11/12,290.00
261012E,SOUTHERN ASBESTOS SERVICES LTD,216766,1,"3,910.00",DEVELOPMENT EXP - CONTRACTORS,01/11/12,"3,910.00"
181012E,TNS UK LTD,260113267,1,"2,500.00",CONSULTANTS,01/11/12,"2,500.00"
800014293,ADECCO UK LIMITED=============,26180947,1,568.76,FRS STAFF AGENCY,01/11/12,568.76
800014294,ADECCO UK LIMITED=============,26180948,1,533.46,FRS STAFF AGENCY,01/11/12,533.46
800014295,ADECCO UK LIMITED=============,26180949,1,424.70,FRS STAFF AGENCY,01/11/12,424.70
800014296,ADECCO UK LIMITED=============,26180950,1,386.05,FRS STAFF AGENCY,01/11/12,386.05
800014297,ADECCO UK LIMITED=============,26180951,1,386.05,FRS STAFF AGENCY,01/11/12,386.05
800014298,ADECCO UK LIMITED=============,26180952,1,565.42,FRS STAFF AGENCY,01/11/12,565.42
800014299,ADECCO UK LIMITED=============,26180953,1,503.30,FRS STAFF AGENCY,01/11/12,503.30
800014300,ADECCO UK LIMITED=============,26180954,1,690.55,FRS STAFF AGENCY,01/11/12,690.55
800014301,ADECCO UK LIMITED=============,26180955,1,"1,135.40",FRS STAFF AGENCY,01/11/12,"1,135.40"
800014302,ADECCO UK LIMITED=============,26180956,1,"1,081.75",FRS STAFF AGENCY,01/11/12,"1,081.75"
800014303,ADECCO UK LIMITED=============,26180957,1,576.80,FRS STAFF AGENCY,01/11/12,576.80
800014304,ADECCO UK LIMITED=============,26180958,1,576.45,FRS STAFF AGENCY,01/11/12,576.45
800014305,ADECCO UK LIMITED=============,26180959,1,"1,426.25",FRS STAFF AGENCY,01/11/12,"1,426.25"
800014306,ADECCO UK LIMITED=============,26180960,1,406.95,FRS STAFF AGENCY,01/11/12,406.95
800014307,ADECCO UK LIMITED=============,26180961,1,499.10,FRS STAFF AGENCY,01/11/12,499.10
800014308,ADECCO UK LIMITED=============,26180962,1,959.54,FRS STAFF AGENCY,01/11/12,959.54
800014309,ADECCO UK LIMITED=============,26180963,1,698.95,FRS STAFF AGENCY,01/11/12,698.95
800014310,ADECCO UK LIMITED=============,26180964,1,576.80,FRS STAFF AGENCY,01/11/12,576.80
800014313,ADECCO UK LIMITED=============,26180967,1,259.56,FRS STAFF AGENCY,01/11/12,259.56
800014314,ADECCO UK LIMITED=============,26180968,1,432.60,FRS STAFF AGENCY,01/11/12,432.60
