 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid
260412C,INFICON GMBH==================,70524488,1,"17,850.00",REPAIR & MAINTENANCE,01/05/12,"17,850.00"
902171,PENNWELL======================,1010000113759,1,917.78,BOOKS & JOURNALS,02/05/12,917.78
170412A,SEALSKINZ LIMITED=============,0000056087,1,75.00,CLOTHING,03/05/12,675.00
170412A,SEALSKINZ LIMITED=============,0000056087,2,50.00,CLOTHING,03/05/12,
170412A,SEALSKINZ LIMITED=============,0000056087,3,75.00,CLOTHING,03/05/12,
170412A,SEALSKINZ LIMITED=============,0000056087,4,50.00,CLOTHING,03/05/12,
170412A,SEALSKINZ LIMITED=============,0000056087,5,75.00,CLOTHING,03/05/12,
170412A,SEALSKINZ LIMITED=============,0000056087,6,75.00,CLOTHING,03/05/12,
170412A,SEALSKINZ LIMITED=============,0000056087,7,50.00,CLOTHING,03/05/12,
170412A,SEALSKINZ LIMITED=============,0000056087,8,75.00,CLOTHING,03/05/12,
170412A,SEALSKINZ LIMITED=============,0000056087,9,75.00,CLOTHING,03/05/12,
170412A,SEALSKINZ LIMITED=============,0000056087,10,75.00,CLOTHING,03/05/12,
260412C,INTUITIVE SYSTEMS AND NETWORKS,00000787,1,"1,125.00",PURCHASES - COMPUTER EQUIPMENT,03/05/12,"1,125.00"
300412C,HEALTH MANAGEMENT LIMITED=====,0000082961,1,200.00,THIRD PARTY REPORTS,03/05/12,"2,753.80"
300412C,HEALTH MANAGEMENT LIMITED=====,0000082961,2,280.00,THIRD PARTY REPORTS,03/05/12,
300412C,HEALTH MANAGEMENT LIMITED=====,0000082961,3,"2,000.00",THIRD PARTY REPORTS,03/05/12,
300412C,HEALTH MANAGEMENT LIMITED=====,0000082961,4,273.80,THIRD PARTY REPORTS,03/05/12,
260412C,HEALTH & SAFETY LABORATORY====,030428,1,"1,590.00",TRAINING & CONFERENCES,03/05/12,"1,590.00"
139650,BRAINTREE DISTRICT COUNCIL====,0600178276K,1,"1,350.00",PROPERTY RATES,03/05/12,"1,350.00"
300412C,G WORRALL & SON LIMITED=======,094555,1,26.00,GENERAL CONSUMABLES,03/05/12,988.50
300412C,G WORRALL & SON LIMITED=======,094555,2,52.50,GENERAL CONSUMABLES,03/05/12,
300412C,G WORRALL & SON LIMITED=======,094555,3,21.00,GENERAL CONSUMABLES,03/05/12,
300412C,G WORRALL & SON LIMITED=======,094555,4,82.50,GENERAL CONSUMABLES,03/05/12,
300412C,G WORRALL & SON LIMITED=======,094555,5,55.00,GENERAL CONSUMABLES,03/05/12,
300412C,G WORRALL & SON LIMITED=======,094555,6,275.00,GENERAL CONSUMABLES,03/05/12,
300412C,G WORRALL & SON LIMITED=======,094555,7,137.50,GENERAL CONSUMABLES,03/05/12,
300412C,G WORRALL & SON LIMITED=======,094555,8,165.00,GENERAL CONSUMABLES,03/05/12,
300412C,G WORRALL & SON LIMITED=======,094555,9,174.00,GENERAL CONSUMABLES,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,1,195.86,FUEL,03/05/12,"33,055.70"
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,2,143.65,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,3,130.48,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,4,209.28,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,5,233.06,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,6,88.89,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,7,108.97,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,8,254.25,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,9,126.61,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,10,227.81,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,11,276.18,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,12,652.13,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,13,263.79,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,14,354.02,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,15,138.79,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,16,439.16,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,17,123.96,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,18,179.23,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,19,209.32,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,20,155.47,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,21,355.04,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,22,238.44,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,23,269.05,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,24,560.69,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,25,435.43,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,26,141.52,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,27,406.63,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,28,281.30,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,29,291.74,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,30,271.05,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,31,352.03,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,32,314.64,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,33,542.20,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,34,158.15,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,35,404.71,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,36,187.88,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,37,92.66,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,38,600.96,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,39,117.44,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,40,195.46,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,41,158.82,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,42,357.43,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,43,124.50,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,44,209.39,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,45,277.99,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,46,159.52,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,47,241.90,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,48,165.35,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,49,123.85,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,50,101.61,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,51,161.20,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,52,554.15,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,53,467.12,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,54,364.79,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,55,285.74,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,56,50.84,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,57,522.00,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,58,175.78,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,59,258.70,FUEL,03/05/12,
300412A,ALLSTAR BUSINESS SOLUTIONS LTD,1018214528,60,135.67,FUEL,03/05/12,
